,sn,command,date,crash_time,report_time,arrival_time,response_time,route,location,vehicle_no,vehicle_type,vehicle_cat,vehicle_make,vehicle_model,fleet_operator,name_of_driver,dl_no,causes,no_injured_male_adult,no_injured_female_adult,no_injured_male_child,no_injured_female_child,total_injured,no_killed_male_adult,no_killed_female_adult,no_killed_male_child,no_killed_female_child,total_killed,no_involved_male_adult,no_involved_female_adult,no_involved_male_child,no_involved_female_child,total_involved
17,1,RS11.2,02/09/2016,0335,0405,0412,7,AKR -IPT,KM 2.5 NEAR ANTI CULTIT P/STATION,KPA 328 LG & LSR 999 XN,2 BUS,2 COM,2 TYT,2 HIACE,,,,SOS,3,3,0,0,6,0,0,0,0,0,6,3,0,0,9
18,2,RS11.2,02/09/2016,1030,1032,1035,3,AKR - IPT,KM 6 ILARA MOKIN,AKD 991 CE & EKY 431 EH,BUS & CAR,2 PVT,HONDA & TYT,ODESS& COROLLA,,,,DGD,2,0,0,0,2,0,0,0,0,0,2,0,0,0,2
19,3,RS11.2,08/09/2016,0045,0056,0105,9,AKR - OWO,KM 2.5  SEENI JUNT. ,DKA  378 YYY & TFB 118 XA,2 BUS,2 COM,2 PGT,2 J5,,,,DGD,7,0,0,0,7,0,0,0,0,0,9,0,0,0,9
20,4,RS11.2,18/09/2016,1600,1623,1635,12,AKR - IPT,KM 13 ERO JUNT,"FKJ 611 XB, KNR 377 XA & GED 81 XA",3 BUS,2 COM & PVT,2 TYT & IZUZU,"HIACE, PICNIC & BUS",,,,WOV,3,2,0,0,5,1,1,0,1,3,8,5,0,1,14
21,5,RS11.2,23/09/2016,1830,1832,1833,1,AKR - OWO,KM1.5 NNPC MEGA STATION,AKR 397 AT & WWW 405  AA,2 CAR,2 PVT,2 NISSAN,2 ALMERA,,,,WOV,2,0,0,0,2,0,0,0,0,0,2,1,0,1,4
22,6,RS11.2,25/09/2016,0450,0455,0500,5,AKR - OWO,KM 4 QUARTER GUARD,NO NOS,BUS,PVT,TYT,SIENNA ,,,,SOS,3,0,0,0,3,0,0,0,0,0,3,0,0,0,3
24,1,RS11.21,03/09/2016,0930,0950,1017,27,ORE - LAG,KM 23 OMOTOSHO AXIS,SMK 355 CK & XA 349 DGB,BUS & TRK,PVT & COM,TYT & BEDFORD,SIENNA & TRK,,,,SPV,5,1,0,0,6,1,1,0,0,2,6,2,0,0,8
25,2,RS11.21,22/09/2016,2020,2025,2027,2,ORE - LAG,KM 4 B4 NNPC FILLING STATION,GWK 730 XA,BUS,COM,TYT,SIENNA,,,,SLV,3,3,0,1,7,1,0,0,0,1,4,3,0,1,8
26,3,RS11.21,24/09/2016,1235,1240,1245,5,ORE - BEN,KM 13 OWENA VILLAGE,APP 525 EC,JEEP,PVT,TYT,JEEP,,,,SLV,1,1,0,0,2,1,2,0,0,3,2,3,0,0,5
27,4,RS11.21,25/09/2016,1410,1417,1422,5,ORE - LAG,QKM 7 AFTER MTN MAST,AWK 815 XA & NO NOS,BUS & TRK,2 COM,TYT & MAN DIESEL,HIACE & TRK,,,,SLV & OTH,4,2,0,0,6,0,0,0,0,0,9,5,1,0,15
28,5,RS11.21,26/09/2016,1720,1729,1735,6,ORE - OND,KM 7 OMI IFON VILLAGE,KSF 357 BG,CAR,PVT,TYT,CAMRY,,,,SLV,1,1,0,0,2,3,0,0,0,3,4,1,0,0,5
29,6,RS11.21,28/09/2016,1620,1630,1637,7,ORE - LAG,KM 13 FRM ORE ,KTU 683 EH,CAR,PVT,V/W,GOLF,,,,SLV,5,0,0,0,5,1,0,0,0,1,6,0,0,0,6
31,1,RS11.22,13/09/2016,0858,0905,0917,12,OWO - AKR,KM 14 CLOSE TO AMURIN,KSF 711 DL,CAR,PVT,TYT,CAMRY,,,,TBT,2,0,0,0,2,0,0,0,0,0,5,0,0,0,5
32,2,RS11.22,21/09/2016,1200,1202,1205,3,OWO - AKR,KM 3 ISUADA JUNCT,SUA 009 WH,BIKE,COM,BAJAJ,BOXERS,,,,SLV,2,0,0,0,2,0,0,0,0,0,2,0,0,0,2
33,3,RS11.22,23/09/2016,1310,1317,1320,3,OWO - AKR,KM 4 POLY GATE,"LES 112 AA, MC 806 AAA & XL 796 AKR",2 CAR & BUS,2 PVT & COM,"NISSAN, TYT & FORD","ALMERA, COROLA & EXPERT",,,,MDV,0,4,0,0,4,0,0,0,0,0,3,7,0,0,10
35,1,RS11.23,02/09/2016,2055,2057,2107,10,IKR - OWO,KM 23 OBA AKOKO CLOSE TO OBA POLICE STATION,NO NOS,BIKE,COM,BOXER,BAJAJ,,,,SPV,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1
36,2,RS11.23,12/09/2016,1605,1606,1609,3,IKR - T/SHIP,KM 0.2 JUBILLEE RD OPP WEMA BANK,2 NO NOS,2 BIKE,2 COM,JICHENG & BOXERS,2 BIKE,,,,WOV,3,0,0,0,3,0,0,0,0,0,3,0,0,0,3
38,1,RS11.24,07/09/2016,1912,1914,1917,3,OND - IFE,KM 2 JAYE FILLING STATION,MNA 803 XA & NO NOS,TRK & BIKE,2 COM,MIST & BIKE,TRK & BIKE,,,,SPV,1,0,0,0,1,1,0,0,0,1,5,0,0,0,5
