,sn,command,date,crash_time,report_time,arrival_time,response_time,route,location,vehicle_no,vehicle_type,vehicle_cat,vehicle_make,vehicle_model,fleet_operator,name_of_driver,dl_no,causes,no_injured_male_adult,no_injured_female_adult,no_injured_male_child,no_injured_female_child,total_injured,no_killed_male_adult,no_killed_female_adult,no_killed_male_child,no_killed_female_child,total_killed,no_involved_male_adult,no_involved_female_adult,no_involved_male_child,no_involved_female_child,total_involved
39,2,RS11.24,08/09/2016,0751,0753,0807,14,OND - IFE,KM 8 ETI ONI,XB 574 BRK & XA 779 PTN,2 TRK,2 COM,DAF & MAN DISEAL,2 TRK,,,,OBS & SPV,0,0,0,0,0,2,0,0,0,2,2,0,0,0,2
41,1,RS11.25,23/09/2016,0930,0932,0933,1,IFON - OWO,KM 2.5 AFTER ARMY CHECK POINT,SMK 222 DQ ,CAR,PVT,TYT,CAMRY,,,,SLV,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3
42,2,RS11.25,26/09/2016,1530,1530,1535,5,IFIN - T/SHIP,KM 5 IMORU RD AFTER NIMIC OFFICE,USH 144 QN & WWW 542 XA,BIKE & BUS,2 COM,QLINK & FORD,BIKE & TRANSIT,,,,SLV,0,0,0,0,0,1,2,0,0,3,2,2,0,0,4
66,1,RS11.2,08/12/2016,0540,0701,0723,22,AKR - OWO,KM 25 B4 OGESE,KTU 940 AS & NSR 813 XA,CAR & TRK,2 COM,V/WAGEN & DAF,GOLF & TRK,,,,WOV,1,4,0,0,5,1,1,0,0,2,3,5,0,0,8
67,2,RS11.2,12/12/2016,1750,1815,1830,15,AKR - IPT,KM 13 SHASHA IGBARA OKE,LSD 732 EA & DKA 12 XA,JEEP & BUS,PVT & COM,MIST & TYT,LANCER & HIACE,,,,WOV,1,0,0,0,1,0,1,0,0,1,6,1,0,0,7
69,1,RS11.21,02/12/2016,1025,1027,1030,3,LAG -ORE,KM 3 ORE TOLL GATE,HIT & RUN BLACK JEEP,JEEP,PVT,JEEP,JEEP,,,,DGD & SLV,0,0,0,0,0,1,0,0,0,1,2,0,0,0,2
70,2,RS11.21,11/12/2016,1450,1500,1515,15,LAG -ORE,KM 8 STEP DOWN,KTU 107 XP & RMG 169 XP,BUS & TRK,PVT & COM,TYT & HOWO,SIENNA & SINO TRK,,,,SLV,2,2,0,0,4,0,0,0,0,0,7,4,0,0,11
71,3,RS11.21,18/12/2016,1620,1625,1633,8,LAG -ORE,KM 11 OMI IFON,BDG 368 XJ & KMC 178 XR,BUS & TRK,2 COM,TYT & HOWO,HIACE & SINO TRK,,,,DGD & SPV,3,0,0,0,3,6,3,0,2,11,9,3,0,2,14
72,4,RS11.21,28/12/2016,1312,1319,1324,5,ORE - OND,KM 4 FRM ORE,FEE 162 AA & 2 NO NOS,JEEP  & 2 BIKE,PVT & 2 COM,RANGE ROVER & 2 HAOJUE,JEEP & 2 SUZUKI,,,,DGD & SPV,2,1,0,0,3,1,0,0,0,1,3,1,0,0,4
73,5,RS11.21,28/12/2016,1145,1150,1200,10,ORE - LAG,KM 16  OMOTOSHO,BDG65DY & IFEMELUMMA NDI IGBO1,CAR & JEEP,2 PVT,2 NISSAN,ALTIMA & INFINITI JEEP,,,,SPV,2,3,0,0,5,1,0,0,0,1,3,3,0,0,6
75,1,RS11.22,07/12/2016,1736,1740,1745,5,OWO - AKR,KM 18 AMURIN,GYH  448 XA & KJA 321 XT,BUS & TRK,2 COM,TYT & M/BENZ,HIACE & TRK,,,,DGD,8,0,0,0,8,4,0,0,0,4,21,0,0,0,21
76,2,RS11.22,07/12/2016,1736,1740,1745,5,OWO - AKR,KM 1  AFTER IKR JUNCT,NO NOS &  ZAR 253 XA,BIKE & TRK,2 COM,BAJAJ & MAN DISEAL,BOXERS & MAN DISEAL,,,,MDV,1,2,0,0,3,0,0,0,0,0,4,2,0,0,6
78,1,RS11.23,09/12/2016,0650,0654,0707,13,IKR - ISUA,KM 21 OKIA  VALLEY,JMA 59 XA,BUS,COM,TYT,HIACE,,,,OVL,13,1,0,1,15,0,0,0,0,0,19,1,0,1,21
79,2,RS11.23,13/12/2016,0310,0315,0324,9,IKR - OWO,KM 15 AAUA VC LORGE AKUNGBA,NSH758 YG & LMD 468 ST,2 BUS,2 PVT,TYT & MAZDA,HIACE & BUS,,,,SLV,2,0,0,1,3,2,0,0,0,2,12,2,0,1,15
80,3,RS11.23,19/12/2015,1810,1815,1824,9,IKR - OWO,KM 17 ETIORO TOWW HALL,AG 861 KAA & SMK 499 XS,BUS & TRK,2 COM,TYT & ASUZU,PREVIA & TRK,,,,DGD,4,2,0,0,6,1,1,0,0,2,5,3,0,0,8
82,1,RS11.24,07/12/2016,0530,0532,0547,15,OND - ORE,KM 9 LIYETU,"MUM 409 XA, JJJ 362 XL & SEY 355 XA",2TRL & BUS,3COM,"M.BENZ, DAF & MAZDA",2 TRL & BUS,,,,SLV,2,0,0,0,2,0,0,0,0,0,4,0,0,0,4
83,2,RS11.24,17/12/2016,0825,0828,0855,27,OND - ORE,KM 17 BAGBE,"EPE 900 SQ, KJA 495 AJ, NND 457 XA & NO NOS","TRK, 2 CAR & BIKE",2 PVT & 2 COM,"MARK, TYT, V/WAGEN & SUZUKI","TRK, SHARON, TAXI & 100",,,,SLV & WOV,3,8,0,0,11,2,1,0,0,3,5,9,0,0,14
84,3,RS11.24,19/12/2016,1815,1817,1828,11,OND - IFE,KM 7 OLORUNLEKE,XY 866 AKD & KNH 67 XA,2 BUS,2 COM,2 MAZDA,2 BUS,,,,SLV,15,1,0,0,16,1,0,0,0,1,15,2,0,0,17
86,1,RS11.25,06/12/2016,1230,1232,1259,27,IFON - BEN,KM 21 AGBANIKAKA AREA,NO NOS,CAR,PVT,AUDI,80,,,,SLV,2,2,0,0,4,1,1,0,0,2,3,3,0,0,6
