,sn,command,date,crash_time,report_time,arrival_time,response_time,route,location,vehicle_no,vehicle_type,vehicle_cat,vehicle_make,vehicle_model,fleet_operator,name_of_driver,dl_no,causes,no_injured_male_adult,no_injured_female_adult,no_injured_male_child,no_injured_female_child,total_injured,no_killed_male_adult,no_killed_female_adult,no_killed_male_child,no_killed_female_child,total_killed,no_involved_male_adult,no_involved_female_adult,no_involved_male_child,no_involved_female_child,total_involved
9,1,RS11.2,03/01/2017,1525,1531,1546,15,AKR - OWO,KM 21 VBOLORUNDURO,"EM 182 FST, AG 36 FGB & LSD 321 CF",3 CAR,3 PVT,"TYT, MAZDA & MAXIMA","CAMRY, 323 & MAXIMA",,,,WOV,5,1,0,0,6,0,0,0,0,0,5,1,0,0,6
10,2,RS11.2,09/01/2017,0815,0820,0830,10,AKR - OWO,KM 11 OBA ILE JUNCT.,NND 957 AE & FKJ 146 XG,JEEP & BUS,PVT & COM,2 TYT,HIGHLANDER & HIACE,,,,SLV & WOV,2,4,2,2,10,1,0,0,0,1,8,6,2,2,18
11,3,RS11.2,12/01/2017,1300,1310,1320,10,AKR - OWO,KM 11 OBA ILE JUNCT.,BF 95 BDJ,CAR,PVT,TYT,PREVIA,,,,TBT,1,6,0,0,7,1,0,0,0,1,2,6,0,0,8
12,4,RS11.2,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,5,RS11.2,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,1,RS11.21,02/01/2017,0330,0335,0342,7,ORE - LAG,KM 13 AFTER AGRIC,BDG 150 XG & KWL 737 XA,LUX BUS & TRK,2 COM,MARCOPOLO & VOLVO,LUX BUS & TRK,,,,"RTV, DGD & SLV",2,6,0,0,8,3,0,0,0,3,50,20,6,3,79
16,2,RS11.21,02/01/2017,1619,1623,1634,11,ORE - OND,KM 19 ASEWELE,XB 117 SHK & KJA 920 CD,2 BUS,COM & PVT,2 TYT,HIACE & PICNIC,,,,BRD & SLV,5,1,1,1,8,0,0,0,0,0,9,4,1,2,16
17,3,RS11.21,03/01/2017,0828,0830,0842,12,ORE - LAG,KM 27 AKINFOSILE,KJA 63 DZ & LND 207 CX,CAR & JEEP,2 PVT,INFINITY & CHRISLER,NEON & JEEP,,,,DGD &  FEV,4,4,0,1,9,1,0,0,1,2,5,4,0,2,11
18,4,RS11.21,03/01/2017,1645,1647,1648,1,ORE - LAG,KM 3.3 NNPC FILLING STATION,NPF & UWN 420 ZT,P/UP & BUS,GOV & COM,2 TYT,HILUX & HIACE,,,,DGD,4,2,0,0,6,0,0,0,0,0,13,4,0,0,17
19,5,RS11.21,06/01/2017,1230,1234,1244,10,ORE - BEN,KM 24 OFOSU,NO NOS,TNK,COM,MACK,TNK,,,,DGD & SLV,2,0,0,0,2,1,0,0,0,1,3,0,0,0,3
