,sn,command,date,crash_time,report_time,arrival_time,response_time,route,location,vehicle_no,vehicle_type,vehicle_cat,vehicle_make,vehicle_model,fleet_operator,name_of_driver,dl_no,causes,no_injured_male_adult,no_injured_female_adult,no_injured_male_child,no_injured_female_child,total_injured,no_killed_male_adult,no_killed_female_adult,no_killed_male_child,no_killed_female_child,total_killed,no_involved_male_adult,no_involved_female_adult,no_involved_male_child,no_involved_female_child,total_involved
9,1,RS11.2,03/12/2020,1245,1250,1255,5,AKR - OWO,500 M  TO THE OFFICE,BSA 60 PM & KEY 150 YE,2 BUS,2 COM,SHARON & TYT,BUS & SIENNA,,,,SPV & LOC,2,2,0,0,4,0,0,0,0,0,4,8,0,0,12
10,2,RS11.2,04/12/2020,1605,1625,1630,5,AKR - IPT,KM 1 ACCADE AREA,"GGE 564 GG, XB 645 JTA & FGB 66 XB",2 CAR & P/UP,PVT & 2 COM,LEXUS & 2 NISSAN,"350, CABSTAR & ALMERA",,,,"SPV ,LOC * MDV",0,0,0,0,0,0,0,0,0,0,6,2,0,0,8
11,3,RS11.2,20/12/2020,1620,1623,1626,3,AKR - IPT,KM 2 WESCO JUNCTION,LND 85 FP & XB 518 JTA,JEEP & CAR,2 PVT,LEXUS & NISSAN,JEEP & ALMERIA,,,,SPV,1,0,0,0,1,0,0,0,0,0,2,0,0,0,2
12,4,RS11.2,22/12/2020,1340,1355,1410,15,AKR   OWO,KM  ELEYOWO ALONG AIRPORT,FUF 411 AH,CAR,PVT,TYT,CAMRY,,,,SLV  LOC,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2
13,5,RS11.2,29/12/2020,1130,1135,1150,15,AKR - OWO,KM 6 STONE WORKS,RSH 558 FY & BDG 512 AU,2 CAR,2 PVT,LEXUS & TYT,LS 460 & CAMRY,,,,SLV  LOC,0,0,0,0,0,0,0,0,0,0,2,2,0,0,4
15,1,RS11.21,07/12/2020,1330,1334,1339,5,ORE - LAG,KM 30 OMOTOSO FROM TOLLGATE,AYB 549 YD,BUS & TRACTOR,2 COM,TYT,SIENNA,,,,SPV & LOC,1,0,0,0,1,0,0,0,0,0,8,1,0,0,9
16,2,RS11.21,08/12/2020,0430,0435,0440,5,ORE - LAG,KM 6 ONITEA  AREA,TGD 11 LG & AAA 868 XQ,BUS & TRK,GOV &COM,FIAT & VOLVO,BUS & TRK,,,,SPV,1,0,0,0,1,2,0,0,0,2,3,0,0,0,3
17,3,RS11.21,08/12/2020,1315,1318,1322,4,ORE - OND,KM 15 OMIFON,NO NOS & MEK 746 QJ,BUS & BIKE,2 COM,TYT & BAJAJ,SIENNA & BIKE,,,,SPV & LOC,2,0,0,0,2,1,0,0,0,1,3,0,0,0,3
18,4,RS11.21,08/12/2020,1930,1930,1931,1,ORE - LAG,KM 10 ORE TOLL GATE,HIT & RUN,0,0,0,HIT & RUN,,,,SPV  & LOC,1,0,0,0,1,0,0,0,0,0,2,0,0,0,2
19,5,RS11.21,08/12/2020,1710,1715,1720,5,ORE - LAG,KM 40 ADOLAK FILLING STATION AJEBAMIDELE,EBJ 32 XA,CAR,COM,TYT,AVENSIS,,,,SPV,3,1,0,1,5,0,0,0,0,0,4,2,0,2,8
20,6,RS11.21,13/12/2020,0830,0845,0900,15,ORE - LAG,KM 30 OMOTOSO FROM TOLLGATE,"KJA 636 CU, NO NOS & TTD 994 YA",CAR & 2 TRK,PVT & 2 COM,"TYT, DONGFENG & HOWO","COROLLA, 2TRK",,,,SPV & LOC,1,0,0,0,1,1,0,0,0,1,6,0,0,0,6
21,7,RS11.21,16/12/2020,0545,0547,0550,13,ORE - BEN,TOLL GATE,SMK 969 XR,TRK,COM ,MARK,TRK,,,,SPV & LOC,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2
22,8,RS11.21,19/12/2020,1320,1330,1340,10,ORE - OND,KM 17 GIDANDAYO,SGB 252 XA & BEN 612 KF,2 BUS,2 COM,TYT & MAZDA,2 BUS,,,,SPV & LOC,3,0,0,0,3,0,0,0,0,0,5,1,0,0,6
23,9,RS11.21,20/12/2020,1450,1501,1507,6,ORE - OND,KM 14 SABO ODIGBO,APP 799 XD & EPE 504 GL,2 BUS,2 COM,TYT & KIA,HIACE &  BUS,,,,SPV & LOC,4,2,0,1,7,0,0,0,0,0,10,4,0,1,15
24,10,RS11.21,26/12/2020,0710,0725,0735,10,ORE - LAG,KM 20 OMOTOSHO,NIL,TRK,COM,DAF,XF,,,,LOC,0,0,0,0,0,0,0,0,0,0,4,0,0,0,4
25,11,RS11.21,26/12/2020,0605,0725,0735,10,ORE - LAG,KM 20 OMOTOSHO,SMK 889 XG,LUX BUS,COM,MARCOPOLO,BUS,,,,SPV & LOC,0,0,0,0,0,0,0,0,0,0,34,22,0,0,56
26,12,RS11.21,26/12/2020,1345,1355,1410,15,ORE - LAG,KM 10 GIDANDAYO ,XU 801 XD & GGE 892 XD,LUX BUS & TRL,2 COM,MARCOPOLO & M/BENZ,LUX BUS & TRL,,,,DGD,1,0,0,0,1,0,0,0,0,0,30,22,0,0,52
27,13,RS11.21,27/12/2020,0630,0650,0700,10,ORE - LAG,KM 15 NAIRO WAY,AGL 787 FN,JEEP,PVT,TYT,4 RUNNER,,,,SPV & LOC,2,1,0,0,3,1,0,0,0,1,3,2,1,0,6
28,14,RS11.21,28/12/2020,0605,0850,0852,2,ORE - LAG,KM 35 OMOTOSHO,"KJA 360 EW, EUN 114 AQ, LND 873 GA & FKJ 379 DG","CAR, BUS & 2 JEEP",4 PVT,3 TYT & HONDA,"CAMRY, SIENNA, HIGHLANDER & PILOT",,,,SPV & RTV,0,0,0,0,0,0,0,0,0,0,12,1,0,0,13
29,15,RS11.21,29/12/2020,1050,1052,1054,2,ORE - LAG,KM 10 TOLL GATE FRM INTERCHANGE,ATN 599 ZK & APP 151 FP,BUS & CAR,COM & PVT,2 TYT,HIACE & CAMRY,,,,SPV & LOC,0,0,0,0,0,0,0,0,0,0,11,4,0,0,15
