,sn,command,date,crash_time,report_time,arrival_time,response_time,route,location,vehicle_no,vehicle_type,vehicle_cat,vehicle_make,vehicle_model,fleet_operator,name_of_driver,dl_no,causes,no_injured_male_adult,no_injured_female_adult,no_injured_male_child,no_injured_female_child,total_injured,no_killed_male_adult,no_killed_female_adult,no_killed_male_child,no_killed_female_child,total_killed,no_involved_male_adult,no_involved_female_adult,no_involved_male_child,no_involved_female_child,total_involved
31,1,RS11.22,02/12/2020,1457,1458,1500,2,OWO - IKR,KM2 OPP NIPCO FILLING STATION,"HIT & RUN, NO NOS",BUS & BIKE,2 COM,BUS & BAJAJ,BUS & BOXERS,,,,SPV,1,0,0,0,1,0,0,0,0,0,2,0,0,0,2
32,2,RS11.22,05/12/2020,1438,1441,1446,5,OWO - AKR,KM 11 AMURIN ,AKR 854 YV & JJJ 570 GP,2 BUS,2 COM,2 TYT,PREVIA & SIENNA,,,,SPV & WOV,6,7,0,0,13,0,0,0,0,0,6,7,0,0,13
33,3,RS11.22,13/12/2020,1755,1758,1800,2,OWO - AKR,BEFORE FIRST GATE POLY,WWW 911 MW & MAPN 312 XA,P/UP & TRK,PVT & COM,TYT & BENZ,TACOMA & TRK,,,,SPV & LOC,1,0,0,0,1,0,0,0,0,0,6,0,0,1,7
34,4,RS11.22,14/12/2020,1700,1706,1710,4,OWO - IFON,KM 5 BE4 ITA PELE JUNCTION,EKY 654 XK,CAR,PVT,TYT,PREVIA,,,,SLV,1,0,0,0,1,1,0,0,0,1,2,0,0,0,2
35,5,RS11.22,19/12/2020,1120,1130,1140,10,OWO - AKR,KM 10 OSOWO BE4 AMURIN JUNCTION,FGG 900 YQ,BUS,COM ,TYT,HIACE,,,,SLV,0,3,3,0,6,0,0,0,0,0,10,3,3,0,16
36,6,RS11.22,21/12/2020,1700,1710,1718,8,OWO - IDOANI,KM 20 AFTER IPELE,KWM 82 XA & BKP 45 LG,TRK & BUS,COM & GOV,DAF & TYT,TRK & HIACE,,,,SPV & LOC,2,2,1,2,7,0,0,0,0,0,5,7,4,3,19
37,7,RS11.22,28/12/2020,1121,1123,1128,5,OWO - IKR,KM 15 AFTER AGO PANU,KWL 39 BF & JHN 62 XA,CAR & BUS,PVT & COM,2 TYT,CAMRY & HIACE,,,,SPV & LOC,6,0,0,0,6,0,0,0,0,0,8,0,0,0,8
38,8,RS11.22,28/12/2020,1658,1700,1703,3,OWO - AKR,KM 5 AFTER POLY 1ST GATE JUNCTION,"MKA 42 ZE, KRD 755 YC & NO NOS",2 BUS & BIKE,3 COM,2 TYT & BOXERS,"HIACE, SIENNA & BAJAJ",,,,SPV & TBT,6,1,0,0,7,0,0,0,0,0,16,2,0,0,18
39,9,RS11.22,31/12/2020,0750,0753,0803,10,OWO - AKR,KM 11 USO,BDG 454 BQ,CAR,PVT,TYT,CAMRY,,,,SPV & LOC,6,0,0,0,6,2,0,0,0,2,8,0,0,0,8
41,1,RS11.23,01/12/2020,1100,1105,1115,10,IKR - OWO,KM 10 AYEGUNLE OBA AKOKO,KJA 641 AV & NO NOS,2 CAR,2 PVT,TYT & V/WAGON,PICNIC & GOLF,,,,WOV,6,1,0,0,7,0,0,0,0,0,6,2,0,0,8
42,2,RS11.23,05/12/2020,1700,1705,1710,5,OKA ISUA,KM 1 FROM BASE,AKD 925 XU,TRK,COM,BENZ,TRK,,,,LOC,1,0,0,0,1,0,0,0,0,0,3,0,0,0,3
43,3,RS11.23,11/12/2020,1600,1605,1615,10,IKR - OWO,KM 10 AAUA GATE AKUGBA,3 NO NOS,3 TRK,3 COM,3 DAF,3 TRK,,,,LOC & BFL,2,0,0,0,2,2,0,0,0,2,4,0,0,0,4
44,4,RS11.23,13/12/2020,1355,1357,1402,5,IKR - OWO,100M ECO BANK PLC IKARE,AKD 106 XZ & KAK 153 WZ,BUS & BIKE,2 COM,TYT & BOXERS,SIENNA & BAJAJ,,,,SPV,0,0,0,0,0,2,0,0,0,2,6,0,0,0,6
45,5,RS11.23,14/12/2020,1945,1948,2001,12,OKA - AKUNGBA,KM 3.5 IWARO OKA,XR 783 PHC,TRK,COM,DAF,TRK,,,,BFL,4,0,0,0,4,1,0,0,0,1,9,0,0,0,9
46,6,RS11.23,22/12/2020,1535,1537,1540,3,IKR - OWO,KM 2 AYEGUNLE OKA,AGL 338 YC,BUS,COM,TYT,HIACE,,,,SPV,2,1,0,0,3,0,0,0,0,0,5,2,0,0,7
47,7,RS11.23,22/12/2020,2125,2127,2130,3,IKR - AJOWA,KM 2 ROCKSEN HOTEL,KAK 528 WZ & NO NOS,2 BIKE,2 COM,2 BOXERS,2 BAJAJ,,,,SPV & LOC,2,0,0,0,2,0,0,0,0,0,2,0,0,0,2
48,8,RS11.23,23/12/2020,0559,0630,0641,11,OKA - AKUNGBA,KM3.3 IWARO OKA,GGE 511 XX,TNK,COM,TNK,TNK,,,,BFL,1,0,0,0,1,1,0,0,0,1,2,0,0,0,2
49,9,RS11.23,30/12/2020,2200,2203,2210,7,IKR - OWO,KM 2 TOTAL FILLING STATION OKE RUWA,KRY 208 XA,TRK,COM,SINO TRK,TRK,,,,SPV,0,0,0,0,0,0,0,0,0,0,4,0,0,0,4
51,1,RS11.24,01/12/2020,1716,1726,1731,5,OND - AKR,KM 10 OWENA,SMK 818 ES ,CAR,PVT,TYT,COROLLA,,,,LOC,1,2,0,0,3,0,0,0,0,0,3,2,0,0,5
52,2,RS11.24,03/12/2020,1400,1400,1402,2,OND - ORE,KM 68 CATHOLIC JUNCTION,DA 333 SMK & A01 960 RS,CAR & P/UP,PVT & GOV,M/BENZ & INNOSON,CAR & P/UP,FRSC,,,SPV,1,0,0,0,1,0,0,0,0,0,4,0,0,0,4
53,3,RS11.24,09/12/2020,1010,1015,1020,5,OND - IFE,KM 1 OLORUNTELE AT OKEIGBO FROM MILITARY BASE,BDS 859 XB & QB 139 REL,BUS & BIKE,2 COM,MAZDA & BOXERS,L300 & BAJAJ,,,,WOV & DGD,2,1,0,0,3,1,0,0,0,1,3,10,0,0,13
54,4,RS11.24,16/12/2020,1537,1553,1554,11,OND - ORE,KM 10 LIYETU,APP 694 XH,TNK,COM,TNK,TNK,,,,LOC,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2
55,5,RS11.24,18/12/2020,1610,1615,1620,5,OND - ORE,KM 5 GBAGBE,GWL 156 XA & AGL 64 GP,BUS & CAR,COM & PVT,PGT & TYT,J5 & COROLLA,,,,DGD & LOC,2,0,0,0,2,0,0,0,0,0,11,0,0,0,11
56,6,RS11.24,21/12/2020,1220,1240,1245,5,OND - IFE,KM 5 PELE,AP 964 MUS & BDR 403 WE,TNK & BIKE,2 COM,BENZ & TVS,TNK & KING,,,,DGD & LOC,3,2,0,0,5,0,0,0,0,0,4,2,0,0,6
58,1,RS11.25,11/12/2020,1400,1410,1413,3,IFON - OWO,KM 8 OMI ALAFA ,NO NOS,TNK,COM,DAF,TNK,,,,MDV,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2
59,2,RS11.25,26/12/2020,0857,0859,0905,6,IFON - OWO,KM 12 AFTER ELEGBEKA,FGB 698 XA & XA 302 XXX,BUS & TRK,2 COM,TYT & MAN DIESEL,HIACE & TRK,,,,SPV,7,3,2,0,12,0,0,0,0,0,8,4,3,0,15
70,1,RS11.2,07/11/2020,0920,0923,0930,7,AKR - T/SHIP,"KM 4 ADEGBEMILE, CLOSE ALAGBAKA ",WWW 635 XA,CAR,COM,NISSAN,PREMIER,,,,SLV & LOC,1,1,0,0,2,0,0,0,0,0,1,1,0,0,2
71,2,RS11.2,07/11/2020,2030,2047,2059,12,AKR - OND,KM 15 APONMU BE4 OWENA,LSR 407 EQ,CAR,PVT,TYT,CAMRY,,,,TBT & LOC,1,0,0,0,1,1,0,0,0,1,2,0,0,0,2
72,3,RS11.2,08/11/2020,1205,1221,1230,9,AKR - IPT,KM 7 ERO ,"ABC 832 AA, EGB 275 YS & KSF 561 FZ",2 CAR &  TRL,2 PVT & COM,"NSSAN, MAZDA & DAF","PRIMERA, MPV & TRL",,,,LOC & OTH,3,9,0,2,14,1,1,0,1,3,6,8,0,3,17
73,4,RS11.2,19/11/2020,0705,0740,0755,15,AKR - OWO,KM 5 SHASHA MRKT,HIT & RUN & SUA 859 WN,BIKE,COM,BAJAJ,BAJAJ,,,,LOC,0,0,0,0,0,1,1,0,0,2,1,1,0,0,2
74,5,RS11.2,20/11/2020,0702,0705,0710,5,AKR - T/SHIP,KM 1 OLUSEGUN OBASANJO,BDG 82 EG & NO NOS,CAR & BIKE,PVT & COM,TYT & HONDA,CORROLLA & BIKE,,,,SPV & LOC,1,0,0,0,1,0,0,0,0,0,2,0,0,0,2
75,6,RS11.2,28/11/2020,1052,1053,1056,3,AKR - IPT,KM 4 ILARA MOKIN,NO NOS & HIT & RUN,BIKE,COM,BAJAJ,BIKE,,,,SPV & LOC,1,1,0,0,2,0,0,0,0,0,1,2,0,0,3
76,7,RS11.2,28/11/2020,1640,1653,1700,7,AKR - ODA RD,KM 2 KAJOLA ODA RD ,AKR 171 YT & NO NOS,TRK & BIKE,2 COM,MACK & BOXERS,TRK & BIKE,,,,"SPV, LOC & DGD",1,0,0,0,1,1,0,0,0,1,3,0,0,0,3
78,1,RS11.21,04/11?2020,1210,1211,1213,2,ORE - BEN,KM 7 OPP SUNSHINE PARK,NO NOS,BUS,COM,TYT,HIACE,,,,SPV,1,0,0,0,1,0,0,0,0,0,2,0,0,0,2
79,2,RS11.21,05/11/2020,1928,1933,1940,7,ORE - OKITIPUPA,KM 10 NEAR STERLING BANK,REE 542 AA,TRK,COM,DAF,TRK,,,,SPV & LOC,2,0,0,0,2,0,0,0,0,0,4,0,0,0,4
80,3,RS11.21,13/11/2020,0900,0909,0920,11,ORE - BEN,KM 10 SHOWBOY,ENU 801 ZK,TRK,COM,BENZ,TRK,,,,BFL,0,0,0,0,0,1,0,0,0,1,1,0,0,0,1
81,4,RS11.21,14/11/2020,0428,0442,0452,10,ORE - OND,OMIFON ALADURA,NO NOS & JGB 707 T,TRK & P/UP,2 COM,SCANIA & NISSAN,TRK & P/UP,,,,SPV & LOC,2,0,0,0,2,2,0,0,0,2,4,0,0,0,4
82,5,RS11.21,15/11/2020,0757,0805,0811,6,ORE - BEN,SHOWBOY JUNCTION,NO NOS & HIT & RUN,BIKE & TRK (HIT & RUN),2 COM,SUZUKI & TRK (HIT & RUN),HAOJUE & TRK (HIT & RUN),,,,SPV,0,0,0,0,0,1,0,0,0,1,2,0,0,0,2
83,6,RS11.21,15/11/2020,1010,1030,1040,10,ORE - OND,KM 20 ODIGBO FROM INTERCHANGE,BDG 321 XR & SGM 301 QH,BUS & BIKE,2 COM,TYT & BOXERS,HIACE & BAJAJ,,,,SPV & LOC,2,8,0,0,10,1,0,0,0,1,3,8,0,0,11
84,7,RS11.21,19/11/2020,2100,2107,2112,5,ORE - KTP,KM 20 B4 ARMY CHECK POINT,"KTP 279 AA, 06H-290D & NO NOS","CAR, BUS & TRK","PVT, GOV & COM",2 TYT & MACK,"AVENSIS, COASTER & TRK",,,,SPV & LOC,0,1,0,0,1,1,3,0,0,4,3,2,0,0,5
85,8,RS11.21,22/11/2020,0930,0937,0940,3,ORE - BEN,KM 8 MTN MASK FRM INTERCHANGE,NO NOS,TRK,COM,IVECO,TRK,,,,SPV & LOC,1,0,0,0,1,1,0,0,0,1,2,0,0,0,2
86,9,RS11.21,28/11/2020,1200,1230,1240,10,ORE - BEN,KM 2O ASEJIRE,GSW 269 XA,TRL,COM,SHACMAN,TRL,,,,SPV & LOC,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1
87,10,RS11.21,30/11/2020,2205,2210,2215,5,ORE - LAG,KM 45 AJEBANDELE,APP 22 FZ & AUY 124 XA,BUS & TRK,2 COM,TYT & FAW,SIENNA & TRK,,,,WOV & SPV,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2
89,1,RS11.22,05/11/2020,1135,1136,1137,1,OWO - AKR,KM 1.5 BESIDE NIPCO,SMK 222 XP & TRN 268M XA,2 TRL,2 COM,SCANNIA & DAF,2 TRL,,,,DGD & LOC,2,0,0,0,2,0,0,0,0,0,4,0,0,0,4
90,2,RS11.22,10/11/2020,1530,1533,1537,4,OWO - IKR,KM 9 AGO PANU,BGT 468 XA,BUS,COM,TYT,HIACE,,,,SPV,2,2,0,0,4,0,0,0,0,0,2,2,0,0,4
91,3,RS11.22,16/11/2020,1540,1543,1548,5,OWO - IKR,KM 9 AGO PANU,AYE 625 ZQ  & NO NOS,TRK & BIKE,2 COM,VOLVO & BAJAJ,TRK & BIKE,,,,SPV,1,0,0,0,1,0,0,0,0,0,3,0,0,0,3
92,4,RS11.22,18/11/2020,1348,1350,1352,2,OWO - AKR,KM 3 AFTER ISUADA,"AKR 61 SJ,  LFA 105 MF & JJJ 155 BT ",2 CAR & JEEP,3 PVT,2 TYT & NISSAN,"COROLLA, PRIMERA & HIGHLANDER",,,,SPV,0,0,0,0,0,0,0,0,0,0,7,2,0,0,9
94,1,RS11.23,21/11/2020,2030,2032,2035,3,IKR - AJOWA,KM 1 CILLAM FILLING STATION,"NO NOS, KAK 864 AE & NO NOS","TRK, CAR & BIKE",2 COM & PVT,"CARGO,  NISSAN &  BAJAJA","TRK, MICRA & BOXERS",,,,BFL & LOC,1,0,0,0,1,0,0,0,0,0,9,0,0,0,9
95,2,RS11.23,29/11/2020,0856,0900,0910,10,IKR - IBOROPA,KM 5 UGBE AKOKO,2 NO NOS,BUS & BIKE,2 COM,TYT & BAJAJ,SIENNA & BOXER,,,,SPV,1,1,1,2,5,0,0,0,0,0,2,1,1,2,6
96,3,RS11.23,29/11/2020,1950,1953,1959,6,IKR - AJOWA,KM 5 AGBALUKU AKOKO,KAK 484 AE & NO NOS,CAR & BIKE,PVT & COM,TYT & BAJAJ,CORROLLA & BOXERS,,,,SPV,1,1,0,0,2,0,0,0,0,0,3,1,0,0,4
98,1,RS11.24,05/11/2020,2045,2040,2045,5,OND - ORE,KM 5 BAGBE,ABC 396 XC,TRK,COM,M/BENZ,TRK,,,,DGD & LOC,3,0,0,0,3,0,0,0,0,0,4,0,0,0,4
99,2,RS11.24,13/11/2020,2011,2016,2021,5,OND - AKR,OBOTO,LND 515 XG & NO NOS,"BUS, TRK & BIKE",3 COM,"TYT, DAF, & HAOJUE","SIENNA, TRK & SUZUKI",,,,DGD & LOC,4,1,0,0,5,1,0,0,0,1,5,1,0,0,6
100,3,RS11.24,21/11/2020,1420,1430,1435,5,OND - AKR,KM 2 KOLA REWIRE,"KSF 603 XL, KRD 472 AT & NND 366 WL","TNK, CAR & BIKE",2 COM & PVT,"TIPPER, TYT & BOXERS","TNK, CAMRY & BIKE",,,,BFL,2,1,0,0,3,0,0,0,0,0,3,1,0,0,4
102,1,RS11.25,03/11/2020,1930,1932,1938,6,IFON - OWO,KM 10 OMI - AALAFA,FFN 476 AA & WWW 109 MW,2 CAR,2 PVT,V/W & TYT,GOLF 3 & SOLARA,,,,DUI & LOC,1,0,0,0,1,0,0,0,0,0,2,0,0,0,2
103,2,RS11.25,10/11.2020,0845,0848,0852,4,IFON - OWO,KM 11 ELEGBEKA,BDJ 220 ZY,TRK,COM,IVECO,TURBO STAR,,,,MDV & LOC,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2
104,3,RS11.25,15/11/2020,1710,1711,1712,1,IFON - OWO,KM 0.5 OGOLO SIUTE,AKR 141 XW & NO NOS,CAR & BIKE,PVT & COM,TYT & QLINK,PRIVIA & CRUISER,,,,SPV,1,0,0,0,1,0,0,0,0,0,5,4,0,0,9
115,1,RS11.2,10/08/2020,1920,1922,1923,1,AKR - OWO,KM 1 OPPOSITE PRIMUS WATER,JJJ  28 FQ,CAR,PVT,LEXUS,E30,,,,WOV & LOC,3,0,0,0,3,0,0,0,0,0,4,0,0,0,4
116,2,RS11.2,13/08/2020,1140,1145,1148,3,AKR - OWO,KM 5 QUARTER GUARD,KSF 862 XX,TRK,COM,DAF,TRK,,,,DGD & LOC,1,0,0,0,1,0,0,0,0,0,3,0,0,0,3
117,3,RS11.2,15/08/2020,1755,1805,1810,5,AKR - IPT,KM 2 AKAD ,AAA 827 CU & ABC 344 CZ,2 CAR,2 PVT,NISSAN & LEXIUS,ALMERA & 330,,,,DGD & LOC,2,0,0,0,2,0,0,0,0,0,3,0,0,0,3
118,4,RS11.2,16/08/2020,1400,1405,1410,5,AKR - OWO,KM 8 BUTCHER AKURE,LND 784 GF & KTU 400 QF,BUS & BIKE,2 COM ,TYT & BAJAJ,SIENNA & BOXERS,,,,LOC,2,0,0,1,3,0,0,0,0,0,3,1,0,1,5
119,5,RS11.2,24/08/2020,0740,0825,0845,20,AKR - OND,KM 6 ASSEMBLY OF GOD CHURCH JUNCTION,AE 577 JER & AGL 187 CE,2 CAR,2 PVT,MAZDA & TYT,626 & COROLLA,,,,WOV & LOC,1,0,0,0,1,0,0,0,0,0,3,0,0,0,3
121,1,RS11.21,06/08/2020,2250,2300,2315,15,ORE - ONDO,KM 21  LASIA VILLAGE,ANG 368 XA & NO NOS,BUS & TRK,2 COM ,TYT & BEDFORD,HAICE & MINI TRK,,,,OBS & SPV,4,1,0,0,5,4,0,0,0,4,8,1,0,0,9
122,2,RS11.21,14/08/2020,0915,0920,0925,5,ORE - LAG,KM 40 ONI TEA ,JJJ 993 XV,BUS,COM,TYT,HIACE,,,,SPV & LOC,4,1,0,0,5,0,0,0,0,0,9,1,0,0,10
123,3,RS11.21,28/08/2020,1210,1213,1221,8,ORE - ONDO,KM 21 OMIFON,SGB 184 XA & FKJ 139 XA,CAR & BUS,2 COM ,V/WAGEN  & TYT,GOLF & SIENNA,,,,LOC,3,0,1,0,4,0,0,0,0,0,7,0,1,0,8
125,1,RS11.22,01/08/2020,1606,1610,1615,5,OWO - T/SHIP,KM 3 IMADE COLLEGE ,AKR 452 QC & NO NOS,2 BIKE,2 COM ,BAJAJ & QLINK,BOXERS & CRUISER,,,,SPV & LOC,4,0,0,0,4,0,0,0,0,0,5,0,0,0,5
126,2,RS11.22,02/08/2020,1200,1202,1208,6,OWO - IKR,KM 3 ARMY CHECK POINT,GWA 703 YR & SUA 793 WN,BUS & BIKE,2 COM ,TYT & BAJAJ,HIACE & BOXERS,,,,SPV & DGD,1,0,0,0,1,0,0,0,0,0,7,3,0,0,10
127,3,RS11.22,04/08/2020,1203,1205,1209,4,OWO - AKR,KM 6 AFTER POLY 2ND GATE,JJJ 849 CF & WWW 148 AA,2 CAR,2 PVT,TYT & NISSAN,COROLLA & PRIMERA,,,,BRD & LOC,2,1,1,0,4,0,0,0,0,0,3,3,1,0,7
128,4,RS11.22,09/08/2020,1603,1605,1608,3,OWO - AKR,KM 4 BEFORE POLY 1ST GATE,KTU 954 GD,BUS,COM,TYT,SIENNA,,,,TBT & LOC,1,1,0,0,2,0,0,0,0,0,4,3,0,0,7
129,5,RS11.22,13/08/2020,0400,0500,0505,5,OWO - IKR,KM 5  BEFORE SHASHA MRKT ,GZW 208 XA,BUS,COM,TYT,HIACE,,,,SPV & TBT,3,0,0,0,3,1,0,0,0,1,12,0,0,0,12
130,6,RS11.22,15/08/2020,1003,1008,1016,8,OWO - AKR,AMURIN,"DD 797 ABC, MUS 917 DK & KTU 680 XX","CAR , JEEP & BUS",2 PVT & COM,"LAND CRUISER, TYT & FAW ","JEEP, CORROLLA & 8190",,,,SPV & WOV,5,0,1,2,8,1,0,0,0,1,1,7,1,2,11
131,7,RS11.22,16/08/2020,1257,1259,1303,4,OWO - T/SHIP,INFRONT OF POLARIS BANK ,HIT & RUN,CAR,0,0,0,,,,0,1,0,0,0,1,0,0,0,0,0,2,0,0,0,2
132,8,RS11.22,17/08/2020,1645,1650,1655,5,OWO - IFON,AFTER JOSSY MOTORS,ATU 752 XT,TRL,COM,HOWO,TRL,,,,DGD & LOC,2,1,0,0,3,0,0,0,0,0,2,1,0,0,3
135,1,RS11.23,10/08/2020,2300,2305,2310,5,IKR - ISUA,"KM 1 OPP RIGHT FOUNDATION, SCHL UGBE AKOKO",KAK 645 AE,CAR,PVT,TYT,CAMRY,,,,BFL & LOC,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
136,2,RS11.23,11/08/2020,1920,1930,1935,5,IKR - AJOWA,KM 2 AGBALUKU JUNCTION,LND 785 YA & NO NOS,P/UP & BIKE,2 COM ,FORD & BOXERS,P/UP & BAJAJ,,,,BFL & LOC,1,0,0,0,1,0,0,0,0,0,3,0,0,0,3
137,3,RS11.23,17/08/2020,1340,1347,1401,14,OKA - AKUNGBA,IWARO  OKA,KZR 95 ZT & KNC 60 XA,2 TRK,2 COM ,HOWO & DAF,2 TRK,,,,BFL,1,0,0,0,1,1,0,0,0,1,4,0,0,0,4
138,4,RS11.23,23/08/2020,1205,1210,1220,10,IKR - OWO,KM 4 AGO AJAYI,KRD 305 XN,TRK,COM,MAW,TRK,,,,SPV,0,0,0,0,0,1,0,0,0,1,3,0,0,0,3
139,5,RS11.23,24/08/2020,1545,1550,1555,5,IKR - ADO,KM 3 FEDERAL TECHNICAL COLLEGE,ANG 411 XA,P/UP,COM,SUZUKI,P/UP,,,,SPV & LOC,1,0,0,0,1,0,0,0,0,0,3,2,0,0,5
140,6,RS11.23,29/08/2020,1605,1610,1615,5,IKR - ADO,KM 1 OPP OKORUN POLICE,"NO NOS, FST 575 XQ, QC 160 ANG, KAK 974 UM, NO NOS, NO NOS, NO NOS &  NO NOS","TAN, TRK & 6 BIKE",8 COM,"DAF, BENZ, 2 HAOJUE & 4 BAJAJ ","TAN, TRK, 2 SUZUKI & 4 BOXERS",,,,"SPV, LOC & BFL",3,0,0,0,3,4,0,0,0,4,6,1,0,0,7
