,sn,command,date,crash_time,report_time,arrival_time,response_time,route,location,vehicle_no,vehicle_type,vehicle_cat,vehicle_make,vehicle_model,fleet_operator,name_of_driver,dl_no,causes,no_injured_male_adult,no_injured_female_adult,no_injured_male_child,no_injured_female_child,total_injured,no_killed_male_adult,no_killed_female_adult,no_killed_male_child,no_killed_female_child,total_killed,no_involved_male_adult,no_involved_female_adult,no_involved_male_child,no_involved_female_child,total_involved
8,1,RS11.2,02/01/2019,2113,2133,2145,12,AKR - OWO,KM 5 AGBOGB JUCTN.,HIT AND RUN ,0,0,0,0,,,,SPV,1,0,0,0,1,0,0,0,0,0,2,0,0,0,2
9,2,RS11.2,07/01/2019,1026,1030,1039,9,AKR - IPT,KM 12 ERO,NO NOS & BEN 473 AE,TRK & CAR,COM & PVT,MACK & TYT,TRK & COROLLA,,,,TBT &                           SPV,1,1,1,3,6,0,0,0,0,0,2,1,1,3,7
10,3,RS11.2,11/01/2019,0932,0932,0935,3,AKR - OWO,KM 1.3 SEEBI JUNCTION.,GGE 463 XB & AAA 352 DK,BUS & CAR,COM & PVT,2 TYT,HIACE & CAMRY,,,,DGD & SPV,5,9,0,0,14,0,0,0,0,0,5,9,0,1,15
11,4,RS11.2,16/01/2016,0804,0809,0839,30,AKR - OND,"KM 24 AGO AYENI, 300M FROM BEST SOLUTION POLY.",LND 274 XP & FGB 940 AA,TRK & CAR,COM & PVT,HOWO & TYT,TRK & COROLLA,,,,SPV,0,0,0,0,0,2,1,0,0,3,3,1,0,0,4
12,5,RS11.2,22/01/2019,1937,1945,2002,17,AKR - IPT,KM 4 ILERE AFTER OSRC,2 NO NOS,2 BIKE,2 COM,2 BOXERS,2 BAJAJ,,,,SPV,2,0,0,0,2,0,0,0,0,0,2,0,0,0,2
13,6,RS11.2,23/01/2019,1940,1941,1948,7,AKR & IPT,50 M BY A& T,AF 908 AKR & XM 939 AKR ,CAR & TRK,PVT & COM,BENZ & MACK,230 & TRK,,,,SPV,1,0,0,0,1,0,0,0,0,0,2,0,0,0,2
15,1,RS11.21,2019-04-01 00:00:00,0920,0940,0950,10,ORE - LAG,KM32,LSD 209 CL,JEEP,PVT,HONDA,CRV,,,,TBT &                           SPV,3,2,0,0,5,0,0,0,0,0,4,3,0,0,7
16,2,RS11.21,17/01/2019,1500,1514,1530,16,ORE - BEN,KM 6 AZOP JUNCTN.,NO NOS,BIKE,COM,HAOJUE,SUZUKI,,,,SPV,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1
17,3,RS11.21,19/01/2019,1331,1332,1334,2,ORE - LAG,KM5,XB 585 AKD & NO NOS,TRK & BIKE,2 COM,M/DIESEL &           SUZUKI,TRK & HOJUE,,,,SPV &                 LOC,1,0,0,0,1,0,0,0,0,0,2,0,0,0,2
18,4,RS11.21,24/01/2019,1159,12013,1203,4,ORE - LAG,KM25,ACA 636 XT &                      XA 336 EKY,BUS & TRL,2 COM,TYT                            FOTON,BUS & TRL,,,,SPV,1,1,0,0,2,0,0,0,0,0,8,7,0,0,15
