,sn,command,date,crash_time,report_time,arrival_time,response_time,route,location,vehicle_no,vehicle_type,vehicle_cat,vehicle_make,vehicle_model,fleet_operator,name_of_driver,dl_no,causes,no_injured_male_adult,no_injured_female_adult,no_injured_male_child,no_injured_female_child,total_injured,no_killed_male_adult,no_killed_female_adult,no_killed_male_child,no_killed_female_child,total_killed,no_involved_male_adult,no_involved_female_adult,no_involved_male_child,no_involved_female_child,total_involved
27,5,RS11.21,28/12/2016,1145,1150,1200,10,ORE - LAG,KM 16  OMOTOSHO,BDG65DY & IFEMELUMMA NDI IGBO1,CAR & JEEP,2 PVT,2 NISSAN,ALTIMA & INFINITI JEEP,,,,SPV,2,3,0,0,5,1,0,0,0,1,3,3,0,0,6
28,1,RS11.22,07/12/2016,1736,1740,1745,5,OWO - AKR,KM 18 AMURIN,GYH  448 XA & KJA 321 XT,BUS & TRK,2 COM,TYT & M/BENZ,HIACE & TRK,,,,DGD,8,0,0,0,8,4,0,0,0,4,21,0,0,0,21
29,2,RS11.22,07/12/2016,1736,1740,1745,5,OWO - AKR,KM 1  AFTER IKR JUNCT,NO NOS &  ZAR 253 XA,BIKE & TRK,2 COM,BAJAJ & MAN DISEAL,BOXERS & MAN DISEAL,,,,MDV,1,2,0,0,3,0,0,0,0,0,4,2,0,0,6
30,1,RS11.23,09/12/2016,650,654,707,13,IKR - ISUA,KM 21 OKIA  VALLEY,JMA 59 XA,BUS,COM,TYT,HIACE,,,,OVL,13,1,0,1,15,0,0,0,0,0,19,1,0,1,21
31,2,RS11.23,13/12/2016,310,315,324,9,IKR - OWO,KM 15 AAUA VC LORGE AKUNGBA,NSH758 YG & LMD 468 ST,2 BUS,2 PVT,TYT & MAZDA,HIACE & BUS,,,,SLV,2,0,0,1,3,2,0,0,0,2,12,2,0,1,15
32,3,RS11.23,19/12/2015,1810,1815,1824,9,IKR - OWO,KM 17 ETIORO TOWW HALL,AG 861 KAA & SMK 499 XS,BUS & TRK,2 COM,TYT & ASUZU,PREVIA & TRK,,,,DGD,4,2,0,0,6,1,1,0,0,2,5,3,0,0,8
33,1,RS11.24,07/12/2016,530,532,547,15,OND - ORE,KM 9 LIYETU,"MUM 409 XA, JJJ 362 XL & SEY 355 XA",2TRL & BUS,3COM,"M.BENZ, DAF & MAZDA",2 TRL & BUS,,,,SLV,2,0,0,0,2,0,0,0,0,0,4,0,0,0,4
34,2,RS11.24,17/12/2016,825,828,855,27,OND - ORE,KM 17 BAGBE,"EPE 900 SQ, KJA 495 AJ, NND 457 XA & NO NOS","TRK, 2 CAR & BIKE",2 PVT & 2 COM,"MARK, TYT, V/WAGEN & SUZUKI","TRK, SHARON, TAXI & 100",,,,SLV & WOV,3,8,0,0,11,2,1,0,0,3,5,9,0,0,14
35,3,RS11.24,19/12/2016,1815,1817,1828,11,OND - IFE,KM 7 OLORUNLEKE,XY 866 AKD & KNH 67 XA,2 BUS,2 COM,2 MAZDA,2 BUS,,,,SLV,15,1,0,0,16,1,0,0,0,1,15,2,0,0,17
36,1,RS11.25,06/12/2016,1230,1232,1259,27,IFON - BEN,KM 21 AGBANIKAKA AREA,NO NOS,CAR,PVT,AUDI,80,,,,SLV,2,2,0,0,4,1,1,0,0,2,3,3,0,0,6
37,1,RS11.2,03/01/2017,1525,1531,1546,15,AKR - OWO,KM 21 VBOLORUNDURO,"EM 182 FST, AG 36 FGB & LSD 321 CF",3 CAR,3 PVT,"TYT, MAZDA & MAXIMA","CAMRY, 323 & MAXIMA",,,,WOV,5,1,0,0,6,0,0,0,0,0,5,1,0,0,6
38,2,RS11.2,09/01/2017,815,820,830,10,AKR - OWO,KM 11 OBA ILE JUNCT.,NND 957 AE & FKJ 146 XG,JEEP & BUS,PVT & COM,2 TYT,HIGHLANDER & HIACE,,,,SLV & WOV,2,4,2,2,10,1,0,0,0,1,8,6,2,2,18
39,3,RS11.2,12/01/2017,1300,1310,1320,10,AKR - OWO,KM 11 OBA ILE JUNCT.,BF 95 BDJ,CAR,PVT,TYT,PREVIA,,,,TBT,1,6,0,0,7,1,0,0,0,1,2,6,0,0,8
40,4,RS11.2,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
41,5,RS11.2,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
42,1,RS11.21,02/01/2017,330,335,342,7,ORE - LAG,KM 13 AFTER AGRIC,BDG 150 XG & KWL 737 XA,LUX BUS & TRK,2 COM,MARCOPOLO & VOLVO,LUX BUS & TRK,,,,"RTV, DGD & SLV",2,6,0,0,8,3,0,0,0,3,50,20,6,3,79
43,2,RS11.21,02/01/2017,1619,1623,1634,11,ORE - OND,KM 19 ASEWELE,XB 117 SHK & KJA 920 CD,2 BUS,COM & PVT,2 TYT,HIACE & PICNIC,,,,BRD & SLV,5,1,1,1,8,0,0,0,0,0,9,4,1,2,16
