key_0,location,vehicle_no,vehicle_type,vehicle_cat,vehicle_make,vehicle_model,no_injured_male_adult,no_injured_female_adult,no_injured_male_child,no_injured_female_child,total_injured,no_killed_male_adult,no_killed_female_adult,no_killed_male_child,no_killed_female_child,total_killed,no_involved_male_adult,no_involved_female_adult,no_involved_male_child,no_involved_female_child,total_involved,month,day,year,report_minus_crash,arrival_minus_crash,arrival_minus_report,no_automobile,hour,route:from,route:to,BDR,BFL,BRD,DAD,DGD,DOT,DUI,FEV,FQT,FTG,FTQ,LOC,LSV,MDV,OBS,OTH,OVL,ROB,ROV,RTV,RUN,SLV,SOS,SPV,TBT,TYB,UPD,WOT,WOV
517,TIPPER PARK AKUNGBA,KWL 846 XB & LND 968 BE,P/UP & CAR,COM & PVT,CABSTAR & TYT,P/UP & CAMRY,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,2.0,1,20,2019,360,1140,780,2,17,IKR,OWO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
518,ADEFARATI,CK 646 ABJ & EKY 839 XV,BUS & TRK,PVT & COM,TYT & IVECO,SIENNA & TRK,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,3.0,1,27,2019,180,360,180,2,11,IKR,AJOWA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
519,JOHNDECK FILLING STATION,EPE 904 XB & LSD 125 SD,TRL & BIKE,2 COM,FOTON & BAJAJ,TRL & BOXERS,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,4.0,0.0,0.0,0.0,4.0,1,27,2019,420,600,180,2,22,IKR,AJOWA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
510,BEFORE ISUADA JUNCTION 1.5KM FROM IKARE JUNC,NO NOS,BIKE,COMM,BAJAJ,BOXER,3.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,3.0,1,28,2019,120,240,120,1,8,OWO,AKR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
521,REPORT KM40 FROM BASE ONDO-ORE,"NPF 270 ID,  SRM 780 QG & NO NOS"," P/UP, BIKE & CAR                           ","COM, PVT & GOV","TYT, BOXERS & V/WAGEN                 ","HILUX,                          BAJAJ &           GOLFS          ",6.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,14.0,0.0,0.0,0.0,14.0,1,18,2019,780,1500,720,3,8,OND,ORE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
59,KM 2 ADELABU  JUNCT. ,KRD 181 EM,CAR,PVT,TYT,CAMRY,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1,16,2017,300,480,180,1,13,IFON,BEN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
61,KM 3 FUTA GATE NORTH GATE,KSF 881 XT,TRK,COM,MACK,TRK,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,3.0,1,2,2017,0,180,180,1,13,AKR,IPT,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
145,KM 12 ERO,NO NOS & NOS NOT SEEN,2 BUS,2 COM,TYT & FIAT,HIACE & DUCATO,2.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,1.0,3.0,0.0,0.0,0.0,3.0,1,6,2017,300,600,300,2,20,AKR,IPT,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
175,KM 26 GILLVANT QUARRY FRM ORE,JJJ 963 XR & XA 724 KLK,BUS &  CAR,2 COM,TYT & FREIGHTLINER,HIACE & CAR,4.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,8.0,6.0,0.0,0.0,14.0,1,7,2017,1020,2280,1260,2,16,ORE,BEN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
181,KM 17 IWARO OKA HILL,BRK 850 XA,TRK,COM,VOLVO,TRK,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,4.0,1,7,2017,60,360,300,1,8,IKR,ISUA,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
191,KM 4 ILARA MOKIN 1ST JUNCTION,LND 916 XR,BUS,COM,TYT,HIACE,7.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,22.0,0.0,0.0,0.0,22.0,1,8,2017,300,300,0,1,9,AKR,IPT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
246,KM 9 MIMIKO FARM AXIS,NO NOS & XZ 347 MUS,2 TRL,2 COM,MAN DIESEL &  DAF,2 TRL,3.0,0.0,0.0,0.0,3.0,1.0,0.0,0.0,0.0,1.0,4.0,0.0,0.0,0.0,4.0,1,8,2018,1440,1920,480,2,7,ORE,LAG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
265,KM 4 OKIGBO,NO NOS,BIKE,COM,BOXERS,BOXERS,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1,8,2018,1080,1800,720,1,18,OND,IFE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
280,KM 28 OFOSU AXIS,HIT & RUN  & MUS 04 XC,BUS,PVT,MAZDA ,BUS,1.0,9.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,2.0,9.0,0.0,0.0,11.0,1,7,2018,300,600,300,1,12,ORE,BEN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
60,KM 1 INFRONT OF FRSC OFFICE,HIT & RUN,HIT & RUN,0,0,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,2.0,1,2,2017,0,60,60,0,6,AKR,OWO,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
304,KM 7 IGBA,LEL 501 AA & NO NOS,CAR & BIKE,PVT & COM,TYT & HAOJUE,CAMRY & SUZUKI,1.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0,0.0,4.0,1,7,2018,480,780,300,2,17,OND,AKR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
387,KM 14 FRM ORE,LSD 495 CJ,BUS,PVT,HYUNDAI,BUS,1.0,3.0,1.0,4.0,9.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,1.0,4.0,9.0,1,5,2018,300,720,420,1,15,ORE,LAG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
437,102 M OPP FORT OIL,NO NOS,BIKE & HIT & RUN,COM,BAJAJ,SUZUKI,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,2.0,1.0,0.0,0.0,3.0,1,3,2018,120,240,120,1,17,IKR,AJOWA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
446,KM 6 IFE GARAGE,XP 97 KRD & NO NOS,TRK & BIKE,2 COM,MAN DIESEL & BAJAJ,TRK & BIKE,1.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,3.0,1,3,2018,240,900,660,2,16,OND,IFE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
459,KM 17 COSTYAIN,LND 928 & EKY 780 XD,BUS & TRL,2 COM,TYT & MACK,HIACE & TRL,4.0,1.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,6.0,2.0,0.0,0.0,8.0,1,2,2018,540,1020,480,2,14,ORE,BEN,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
89,KM 56 AJEBANDELE,LSR 560 XJ & LSD 953 CH,BUS & CAR,COM & PVT,2 TYT,HIACE &  COROLLA,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,11.0,7.0,0.0,0.0,18.0,1,4,2017,300,600,300,2,14,ORE,LAG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
496,"KM 24 AGO AYENI, 300M FROM BEST SOLUTION POLY.",LND 274 XP & FGB 940 AA,TRK & CAR,COM & PVT,HOWO & TYT,TRK & COROLLA,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,3.0,3.0,1.0,0.0,0.0,4.0,1,16,2016,300,2100,1800,2,8,AKR,OND,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
497,KM 4 ILERE AFTER OSRC,2 NO NOS,2 BIKE,2 COM,2 BOXERS,2 BAJAJ,2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,1,22,2019,480,1500,1020,2,19,AKR,IPT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
314,KM 3.5 GIOAN DAYO AXIS,NND 921 HV & XT 713 KSF,CAR & TRL,PVT & COM,V/WAGEN & DAF,GOLF & TRL,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,3.0,0.0,0.0,0.0,3.0,1,6,2018,780,1260,480,2,12,ORE,OND,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
522,AJILO  KM10 FROM BASE ONDO-AKR,HIT AND RUN ,0,COM,0,0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,3.0,0.0,0.0,0.0,3.0,1,19,2019,600,1200,600,1,20,OND,AKR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
500,KM 6 AZOP JUNCTN.,NO NOS,BIKE,COM,HAOJUE,SUZUKI,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1,17,2019,840,1800,960,1,15,ORE,BEN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
524,"KM1  IDI ORO STREET,BESIDE ST PAUL'S PRIMARY SCHOOL IFON",NO NOS,BIKE,COM,QLINK,QLINK,4.0,0.0,0.0,0.0,4.0,1.0,0.0,0.0,0.0,1.0,5.0,0.0,0.0,0.0,5.0,1,21,2019,600,1200,600,1,17,IFON,OWO,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
830,KM 8 DUNAMIS FILLING STATION,WER 561 ZE ,BUS,COM,TYT,HIACE,4.0,2.0,0.0,0.0,6.0,1.0,0.0,0.0,0.0,1.0,5.0,2.0,0.0,0.0,7.0,1,5,2020,480,1020,540,1,17,ORE,BEN,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
820,SHAMROCK FILLING STATION,AKR 955 YZ & GGE 99 FK,2 CAR,COM & PVT,NISSAN & BENZ,ALMERA & 230,2.0,2.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,3.0,2.0,0.0,0.0,5.0,1,5,2020,420,660,240,2,21,AKR,OWO,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
819,KM 15 IGBARA OKE,JJJ 288 XZ,TRL,COM,HOWO,TRL,3.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,3.0,1,5,2020,1620,2940,1320,1,9,AKR,IPT,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
781,KM 3 IMADE COLLEGE ,AKR 452 QC & NO NOS,2 BIKE,2 COM ,BAJAJ & QLINK,BOXERS & CRUISER,4.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,5.0,1,8,2020,240,540,300,2,16,OWO,T/SHIP,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
735,KM 10 OWENA,SMK 818 ES ,CAR,PVT,TYT,COROLLA,1.0,2.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,3.0,2.0,0.0,0.0,5.0,1,12,2020,600,900,300,1,17,OND,AKR,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
726,KM 10 AYEGUNLE OBA AKOKO,KJA 641 AV & NO NOS,2 CAR,2 PVT,TYT & V/WAGON,PICNIC & GOLF,6.0,1.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,6.0,2.0,0.0,0.0,8.0,1,12,2020,300,900,600,2,11,IKR,OWO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
