,sn,command,date,crash_time,report_time,arrival_time,response_time,route,location,vehicle_no,vehicle_type,vehicle_cat,vehicle_make,vehicle_model,fleet_operator,name_of_driver,dl_no,causes,no_injured_male_adult,no_injured_female_adult,no_injured_male_child,no_injured_female_child,total_injured,no_killed_male_adult,no_killed_female_adult,no_killed_male_child,no_killed_female_child,total_killed,no_involved_male_adult,no_involved_female_adult,no_involved_male_child,no_involved_female_child,total_involved
177,7,RS11.22,27/04/2018,1530,1535,1540,5,OWO - AKR,KM 7 B4 EMURE,KJA 669 FD,CAR,PVT,TYT,CAMRY,,,,SPV  & LOC,1,2,0,0,3,0,0,0,0,0,2,2,0,0,4
178,8,RS11.22,27/04/2018,2130,2131,2131,1,OWO - IKR,KM 2 OPP FRSC OFFICE,AL 287 JRT & KTM 91 XQ,CAR & BUS,PVT & COM,BENZ & DUCATO,190 & BUS,,,,MDV & LOC,1,0,0,0,1,0,0,0,0,0,17,0,0,0,17
179,9,RS11.22,28/04/2018,0832,0835,0842,7,OWO - AKR,KM 8 B4 EMURE ,AY 200 AKR & JBT 748 XA,CAR & TRK,PVT & COM,HONDA & HOWO,ACCORD & TRK,,,,WOT & LOC,1,0,0,0,1,0,0,0,0,0,3,1,0,0,4
181,1,RS11.23,03/04/2018,2203,2206,2221,15,IKR - AJOWA,KM 9 OKE IKARAM,RBC 838 DR & NO NOS,CAR & BIKE,PVT & COM,TYT & BOXERS,TACOMA & BAJAJ,,,,SPV,2,1,0,0,3,1,0,0,0,1,3,1,0,0,4
182,2,RS11.23,11/04/2018,1800,1803,1814,11,IKR - ISUA,KM 19 IWARO HIL,APP 148 XN,TRL,COM,FREIGHT LINER,TRL,,,,0,1,0,0,0,1,0,0,0,0,0,2,0,0,0,2
183,3,RS11.23,13/04/2018,1040,1045,1059,14,IKR - AJOWA,KM 25 GEDEGEDE BRIGDE,LSD 369 XH,BUS,COM,PGT,J5,,,,BFL,1,0,0,0,1,0,0,0,0,0,5,0,0,0,5
184,4,RS11.23,14/04/2018,1650,1653,1708,15,IKR - OWO,KM 13 ETI ORO BEND,NO NOS & APP 914 XP,BIKE & BUS,2 COM,HAOJUE & TYT,SUZUKI & HAICE,,,,SPV,1,0,0,0,1,1,0,0,0,1,3,0,0,0,3
185,5,RS11.23,16/04/2018,1101,1103,1105,2,IKR - OWO,96M KEY STONE BANK,2  NO NOS,2 BIKE,2 COM,HAOJUE & BOXERS,SUZUKI & BAJAJ,,,,SPV,2,0,0,0,2,0,0,0,0,0,2,0,0,0,2
186,6,RS11.23,22/04/2018,1647,1654,1703,9,IKR - ISUA,IWARO OKA,2 NO NOS,BUS & TRK,2 COM,PGT & SCANIA ,J5 & TRK,,,,SPV,0,0,0,0,0,1,0,0,0,1,23,0,0,0,23
187,7,RS11.23,30/04/2018,2005,2007,2017,10,IKR - AJOWA,KM 9 IMO BEND,AL 672 KJA & NO NOS,CAR & BIKE,PVT & COM,TYT & HAOJUE,CAMRY & SUZUKI,,,,SPV,3,0,0,0,3,0,0,0,0,0,6,0,0,0,6
189,1,RS11.24,06/04/2018,1820,1855,1907,52,ONDO- AKR,KM 1 TOPMOT ,NND588HV, CAR ,PVT,TYT,SIENNA  ,,,,SPV,1,0,0,0,1,0,0,0,0,0,2,0,0,0,2
190,2,RS11.24,08/04/2018,0832,0837,0925,10,ONDO- AKR,KM 1 GANI JUNCTION ,"KJA737QA,  LSR971QD &                KRD110CL",2 BIKE & CAR,2 COM & PVT,2 BIKE & MAZDA,2 - BIKE & 323,,,,SPV,2,0,0,0,2,0,0,0,0,0,3,0,0,0,3
