,route,location,vehicle_no,vehicle_type,vehicle_cat,vehicle_make,vehicle_model,no_injured_male_adult,no_injured_female_adult,no_injured_male_child,no_injured_female_child,total_injured,no_killed_male_adult,no_killed_female_adult,no_killed_male_child,no_killed_female_child,total_killed,no_involved_male_adult,no_involved_female_adult,no_involved_male_child,no_involved_female_child,total_involved,month,day,year,report_minus_crash,arrival_minus_crash,arrival_minus_report,no_automobile,hour,route:from,route:to,cause1,cause2
601,"['OWO', 'AKR']",KM 5 B4 POLY GATE,AGL 969 XN & WWW 907 AE,TRK & CAR,2 COM,SCANIA & NISSAN,TRK & PRIMERA,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,4.0,7,15,2019,120,240,120,2,6,OWO,AKR,SPV,LOC
602,"['OWO', 'AKR']",KM 12 AFTER EMURE ,KAK 417 XA & NO NOS,2 CAR,COM & PVT,NISSAN & TYT,ALMERA & COROLLA,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,9.0,7,26,2019,1080,1680,600,2,17,OWO,AKR,WOV,
603,"['IKR', 'OWO']",KM 30 OSE-OBA,XLA 23 XB & FST 25 XC,BUS & LUX BUS,2 COM,TYT & M/BENZ,HIACE & LUX BUS,13.0,1.0,0.0,0.0,14.0,0.0,0.0,0.0,0.0,0.0,43.0,8.0,0.0,0.0,51.0,3,7,2019,300,1800,1500,2,5,IKR,OWO,SPV,
604,"['IKR', 'ADO']",KM 6 OGBAGI,SMK 19 DV,BUS,COM,TYT,SIENNA,4.0,3.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,4.0,3.0,0.0,0.0,7.0,4,7,2019,900,2700,1800,1,12,IKR,ADO,TBT,
605,"['IKR', '-ISUA']",KM 3 UGBE,2 NO NOS,TRK & BIKE,2 COM,TRK & BAJAJ,TRK & BOXERS,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,7,13,2019,120,420,300,2,20,IKR,-ISUA,SPV,
606,"['IKR', 'OWO']",100M INFRONT OF WEMA BANK,NO NOS,BIKE,COM,BAJAJ,BOXERS,2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,3.0,7,19,2019,60,180,120,1,19,IKR,OWO,SPV,
607,"['IKR', 'OWO']",KM 1 OPP POLARIS BANK,2 NO NOS & JJJ 203 CU,2 BIKE &  CAR,2 COM & PVT,2 BAJAJ & MAZDA,2 BOXERS & 626,2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,5.0,7,26,2019,60,180,120,3,9,IKR,OWO,UPD,
608,"['IKR', 'OWO']",KM 25 OBA AKOKO,LGB 539 XA & XC 680 BAU,BUS & TRL,2 COM,TYT & DAF,HIACE & TRL,2.0,1.0,0.0,0.0,3.0,1.0,1.0,0.0,0.0,2.0,10.0,8.0,0.0,0.0,18.0,7,31,2019,1320,2580,1260,2,2,IKR,OWO,SPV,
609,"['OND', 'ORE']",KM 11 IGUSHI FRM IFE ROUND ABOUT,QEKY 502 XC & NO NOS,BUS & BIKE,2  COM,TYUT & HAOJUE,HIACE & SUZUKI,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,2.0,6,7,2019,900,1800,900,2,19,OND,ORE,SPV,
610,"['OND', 'ORE']",KM 17 IGBADO,JJJ 54 CH & SMK 405 DX,2 CAR,COM & PVT,V/WAGEN & HONDA,GOLF & ACCORD,4.0,0.0,0.0,0.0,4.0,0.0,1.0,0.0,0.0,1.0,4.0,1.0,0.0,0.0,5.0,7,13,2019,120,720,600,2,7,OND,ORE,SPV,
611,"['OND', 'AKR']",KM 1 AKINJAGUNLA,REL 135 WE & NO NOS,2 BIKE,2 COM,HONDA & TVS,2 BIKE,1.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,3.0,7,22,2019,240,480,240,2,6,OND,AKR,SPV,
612,"['OND', 'ORE']",KM 22 IGBADO,EPE 199 XP & EKY 240 DU,BUS & CAR,COM & PVT,2 TYT,HIACE & VENZA,6.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,16.0,0.0,0.0,0.0,16.0,7,23,2019,300,900,600,2,17,OND,ORE,SPV,
613,"['AKR', 'IPT']",KM 1 COOP COCOA ,NO NOS,CAR,PVT,TYT,CORLLA,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,2.0,1,8,2019,300,780,480,1,9,AKR,IPT,SPV,
614,"['AKR', 'T/SHIP']",KM 4.5 WEXFORD COLLEGE,AY 181 AKR,CAR,PVT,NISSAN,MAXIMA,1.0,1.0,2.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,0.0,4.0,2,8,2019,360,1140,780,1,21,AKR,T/SHIP,SPV,
615,"['AKR', 'T/SHIP']",KM 15 BESIDE GOV'S OFFICE AKURE,AKD 919 FQ & LND 327 IN,2 CAR,2 PVT,TYT & LEXUS,CAMRY & 300,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,7.0,8,29,2019,480,960,480,2,22,AKR,T/SHIP,SPV,
616,"['ORE', 'OND']",SABO MARKET JUNCTION ,"VM 308 KJA, NND 529 XA, GWA 591 YM & NO NOS","2 CAR, BUS TNK",2 PVT & 2 COM,"2 V/WAGEN, TYT & DAF","GOLF, BUS, GOLF & TNK",1.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,18.0,11.0,0.0,0.0,29.0,2,8,2018,900,1800,900,4,10,ORE,OND,SPV,
617,"['ORE', 'BEN']",KM 3,KET 17 EG,BUS,COM,TYT,HIACE,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,9.0,6.0,0.0,0.0,15.0,12,8,2019,60,120,60,1,10,ORE,BEN,SPV,LOC
618,"['ORE', 'BEN']",KM4,KTP 586 RG,CAR,PVT,TYT,PICNIC,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,8.0,3.0,0.0,0.0,11.0,12,8,2019,60,300,240,1,14,ORE,BEN,SPV,LOC
