,route,location,vehicle_no,vehicle_type,vehicle_cat,vehicle_make,vehicle_model,no_injured_male_adult,no_injured_female_adult,no_injured_male_child,no_injured_female_child,total_injured,no_killed_male_adult,no_killed_female_adult,no_killed_male_child,no_killed_female_child,total_killed,no_involved_male_adult,no_involved_female_adult,no_involved_male_child,no_involved_female_child,total_involved,month,day,year,report_minus_crash,arrival_minus_crash,arrival_minus_report,no_automobile,hour,route:from,route:to,cause1,cause2
649,"['ORE', 'LAG']",KM 15 ASEJIRE BRIDGE,2 NO NOS,2 TRL,2 COM,DAF & BENZ,2 TRL,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,10,9,2019,2400,3600,1200,2,8,ORE,LAG,DGD,
650,"['ORE', 'LAG']",KM 10 OMOTOSHO BRIDGE,RSH 351 XN,BUS,COM,TYT,SIENNA,3.0,1.0,0.0,0.0,4.0,1.0,0.0,0.0,0.0,1.0,4.0,1.0,0.0,0.0,5.0,11,9,2019,300,1200,900,1,12,ORE,LAG,SPV,
651,"['ORE', 'IJEBU']",KM 29 FROM ORE,KTP 608 RG,CAR,COM,V/WAGEN,VENTO,2.0,1.0,0.0,0.0,3.0,2.0,0.0,0.0,0.0,2.0,4.0,1.0,0.0,0.0,5.0,12,9,2019,600,600,0,1,14,ORE,IJEBU,TBT,SPV
652,"['ORE', 'LAG']",KM 35 LEVANT CONST COMP,FEE 712 XA & KSF 834 XW,2 BUS,2 COM,VANETTE & TYT,BUS & HIACE,2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,12.0,5.0,2.0,2.0,21.0,9,16,2019,300,600,300,2,13,ORE,LAG,SPV,
653,"['ORE', 'LAG']",KM 46 ADEWUNLE AREA,AKL 930 YY & FGB 747 XA,BUS & TRL,2 COM,TYT & MAN DIESEL,HIACE & TRL,2.0,3.0,2.0,0.0,7.0,3.0,2.0,0.0,0.0,5.0,6.0,5.0,2.0,0.0,13.0,9,17,2019,300,900,600,2,7,ORE,LAG,SPV,WOV
654,"['OWO', 'IKR']",KM 1 SCHOOL OF BLIND,2 NO NOS (HIT & RUN),TRL & BIKE,2 COM,MACK & BAJAJ,TRL & BOXERS,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,3.0,1.0,0.0,0.0,4.0,6,9,2019,120,240,120,2,15,OWO,IKR,SPV,
655,"['OWO', 'T/SHIP']",UJIMA JUNCTION IYERE,RSH 440 ZA & NO NOS,BUS & BIKE,2 COM,TYT & BAJAJ,SIENNA & BOXERS,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,6.0,3.0,0.0,0.0,9.0,9,9,2019,420,1080,660,2,17,OWO,T/SHIP,SPV,LOC
656,"['OWO', 'AKR']",KM 10 AMURIN,AKR 135 YT & XA 818 NNT,2 CAR,2 COM,2 V/WAGEN,2 GOLF,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,2.0,0.0,0.0,5.0,11,9,2019,180,480,300,2,8,OWO,AKR,WOV,LOC
657,"['OWO', 'IKR']",1.5 KM BESIDE EBINCO PETROL STATION,JJJ 545 XL,TNK,COM,MAN DIESEL,TAN,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,3.0,11,9,2019,120,240,120,1,19,OWO,IKR,SPV,
658,"['OWO', 'AKR']",KM 1.5 OPP JOF FARM,SMK 316 XR  & FNN 325 QA,TRK & BIKE,2 COM,DAF & DAYLONG,TRK & BIKE,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,11,9,2019,120,240,120,2,23,OWO,AKR,OBS,
659,"['OWO', 'IKR']",KM 18 AFTER AGO PANU,EA 363 AAA,BUS,COM,TYT,BUS,2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,9,17,2019,480,1200,720,1,22,OWO,IKR,DAD,LOC
660,"['OWO', 'T/SHIP']",KM 8 AFTER IYERE CENTRAL MOSQUE,AL 256 WWW & WWW 292 WT,CAR & BIKE,PVT & COM,V/WAGEN & BAJAJ,AUDI & BOXERS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,9,22,2019,660,960,300,2,17,OWO,T/SHIP,DGD,
661,"['OKA', 'ISUA']",KM 7 OKIA FROM OKA,DAL 849 XA,TRK,COM,MACK,TRK,2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,3.0,7,9,2019,420,1020,600,1,17,OKA,ISUA,BFL,
662,"['IKR', 'AJOWA']",KM 7 GREAT CORNERSTONE JUNCTION,KJA 879 ET & FST 906 XR,CAR & JEEP,2 PVT,TYT & MISTU,AVENSIS & L200,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,3.0,9,16,2019,300,600,300,2,18,IKR,AJOWA,BFL,SPV
663,"['OKA', 'AKUNGBA']",KM 5 IWARO JUNCTION,2 NO NOS,2 TRK,COM & GOV,HOWO & MACK,2 TRK,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,6.0,0.0,0.0,0.0,6.0,9,20,2019,600,1200,600,2,11,OKA,AKUNGBA,BFL,
664,"['OKA', 'ISUA']",OKIA BEND,KMC 75 XP,TRK,COM,MACK,TRK,5.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,10.0,9,26,2019,600,-1680,-2280,1,20,OKA,ISUA,LOC,
665,"['OND', 'ORE']",KM 9 INDICO FROM IFE ROUNDABOUT,GGE 643 XP & FB 282 ABJ,BUS & CAR,COM & PVT,TYT & KIA,HIACE & CAR,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,0.0,0.0,6.0,1,9,2019,120,600,480,2,17,OND,ORE,SPV,
666,"['OND', 'IFE']",KM 11 PELE FROM IFE ROUNDABOUT,KTU 436 XW & NO NOS,BUS & BIKE,2 COM,TYT & BAJAJ,SIENNA & BOXERS,3.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,6.0,3.0,0.0,0.0,9.0,1,9,2019,420,1020,600,2,16,OND,IFE,SPV,
667,"['OND', 'ORE']",KM 12 GBAGBE FROM IFE ROUNDABOUT,USL 736 TP,CAR,PVT,TYT,PRIVIA,5.0,1.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,5.0,2.0,0.0,0.0,7.0,10,9,2019,780,1560,780,1,10,OND,ORE,SPV,
668,"['OND', 'AKR']",KM6 AKINVIC HOTAL FROM IFE ROUNDABOUT,FFF 939 UL & EKY 603 FU,TRICYCLE & CAR,COM & PVT,TVS & LEXUS,TRICYCLE & RS350,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,9,16,2019,1980,2820,840,2,9,OND,AKR,SPV,
669,"['OND', 'AKR']",KM6 BAPTIST JUNCTION FROM IFE ROUNDABOUT,HIT & RUN,0,0,0,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,2.0,9,21,2019,1620,2460,840,0,17,OND,AKR,SPV,
670,"['OND', 'ORE']",GBAGBE,LND 971 XW,BUS,COM,MAZDA,BUS,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,2.0,9,24,2019,1980,2820,840,1,8,OND,ORE,SPV,
671,"['AKR', 'T/SHIP']",KM 3.6 OYEMEKUN ROAD CHAMPION JUNCTION,XM 985 AKR  & NO NOS,TRK  & CAR,COM & PVT,TATA & LEXUS,TRK & ES360,2.0,0.0,0.0,0.0,2.0,2.0,1.0,0.0,0.0,3.0,4.0,1.0,0.0,0.0,5.0,4,10,2019,1920,2820,900,2,5,AKR,T/SHIP,SPV,LOC
672,"['AKR', 'OND']",KM 3 TOTAL FILLING STATION ONDO ROAD,QS 307 AKR & AMK 900 AA,BIKE & CAR,COM & PVT,BAJAJ & BENZ,BOXERS & C240,1.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,3.0,5,10,2019,120,300,180,2,8,AKR,OND,SPV,LOC
673,"['AKR', 'IPT']",IGBARA OKE SHASHA MARKET,2 NO NOS,TRL & BUS,2 COM,DAF & MAZDA,TRL & BUS,2.0,0.0,0.0,0.0,2.0,1.0,1.0,0.0,0.0,2.0,4.0,1.0,0.0,0.0,5.0,9,10,2019,960,1920,960,2,22,AKR,IPT,SPV,LOC
674,"['AKR', 'OND']",KM 5.2 OPP AYUS HOTEL ONDO ROAD,LSR 452 BG & KTP 312 XA,CAR & BUS,2 PVT,2 TYT,CAMRY & PICNIC,2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,12,10,2019,300,660,360,2,14,AKR,OND,UPD,SPV
675,"['AKR', 'IPT']",ERO,NO NOS,CAR,PVT,BENZ,800,3.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,3.0,10,23,2019,900,1800,900,1,16,AKR,IPT,TBT,
676,"['ORE', 'BEN']",KM 23 NIFO,AYB 253 AH,BUS,COM,TYT,SIENNA,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,5.0,1.0,0.0,0.0,6.0,8,10,2019,60,600,540,1,17,ORE,BEN,SPV,LOC
677,"['ORE', 'LAG']",KM 10 MTN MAST NIFO,AGB 141 YV,BUS,COM,TYT,HAICE,5.0,0.0,2.0,1.0,8.0,0.0,1.0,0.0,0.0,1.0,10.0,5.0,2.0,1.0,18.0,10,10,2019,600,1020,420,1,13,ORE,LAG,TBT,LOC
678,"['ORE', 'LAG']",AFTER NAROWI,AKU 03 YU & RU 526 FZE,BUS & TRK,2 COM,TYT & MARK,HAICE & TRK,0.0,4.0,3.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,5.0,4.0,4.0,0.0,13.0,10,20,2019,960,1740,780,2,12,ORE,LAG,BFL,
679,"['ORE', 'LAG']",KM 5 MTN MAST ORE,691 XA,BUS,COM ,TYT,HAICE,1.0,2.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,6.0,8.0,0.0,0.0,14.0,10,27,2019,300,600,300,1,16,ORE,LAG,SPV,
680,"['OWO', 'AKR']",BOLORUNDURO,GBL 06 XA & AKR 02 AG,TRK & CAR,COM & PVT,IVECO & TYT,TRK & COROLLA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,3.0,0.0,0.0,8.0,8,10,2019,1380,2100,720,2,9,OWO,AKR,BRD,
681,"['OWO', 'AKR']",KM 14 USO,RSD 480 XA,CAR,COM,NISSAN,SERENA,2.0,1.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,4.0,2.0,0.0,0.0,6.0,11,10,2019,1020,1680,660,1,18,OWO,AKR,TBT,
682,"['OWO', 'IFON']",KM 17 OYOYO VILLAGE,MRD 341 XA & BDG 330 AJ,2 BUS,2 COM,TYT & FIAT,HAICE & DUCATO,15.0,0.0,0.0,0.0,15.0,3.0,0.0,0.0,0.0,3.0,18.0,0.0,0.0,0.0,18.0,10,17,2019,300,600,300,2,13,OWO,IFON,SPV,
683,"['OWO', 'AKR']",KM 10 AMURIN,NO NOS & HIT & RUN,BIKE,COM,BAJAJ,BOXERS ,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,10,17,2019,960,1620,660,1,21,OWO,AKR,0,
684,"['OWO', 'AKR']",KM 10 OPP VIO OFFICE,KSF 805 XS,BUS,COM,FOTON,BUS,2.0,3.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,2.0,3.0,0.0,0.0,5.0,10,19,2019,360,960,600,1,11,OWO,AKR,TBT,
685,"['OWO', 'AKR']",KM 17 AMURIN,LSR 349 XY & XA 83 WNR,LUX BUS & TRL,2 COM,YUTONG & DAF,ZK612001 & TRL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.0,2.0,0.0,0.0,42.0,10,23,2019,0,780,780,2,7,OWO,AKR,OBS,LOC
686,"['OKA', 'IWARO']",KM6 FROM OKA,NO NOS,TRK,COM,HOWO,TRK,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,2.0,6,10,2019,900,1380,480,1,13,OKA,IWARO,BFL,
687,"['OKA', 'AKUNGBA']",KM 6 IWARO OKA,YKF 960 XA,TRK,COM,SHACMAN,TRK,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,2.0,10,19,2019,300,1020,720,1,11,OKA,AKUNGBA,BFL,
688,"['IKR', 'ISUA']",KM 5 UGBE JUNCTION GENERAL HOSPITAL JUNCTION,LSR 921 FP & NO NOS,CAR & BIKE,PVT & COM,TYT & JINCHENG,CAMRY & BIKE,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,2.0,10,21,2019,300,1200,900,2,14,IKR,ISUA,SPV,
689,"['IKR', 'ISUA']",KM 5 UGBE JUNCTION GENERAL HOSPITAL JUNCTION,45W-75FG & NO NOS,JEEP &  BIKE,GOV  & COM,TYT & BAJAJ,LAND CRUISER & BOXERS,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,10,23,2019,300,660,360,2,12,IKR,ISUA,SPV,
690,"['IKR', 'OWO']",KM 10 AKUNGBA,SAG 330 XA,BUS,COM,TYT,HAICE,5.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,18.0,1.0,0.0,0.0,19.0,10,25,2019,180,780,600,1,8,IKR,OWO,BFL,
691,"['OND', 'ORE']",KM 17 IFE GARAGE,AKR 70 XB & NO NOS,P/UP & BIKE,"2 COM,",TYT & BAJAJ,DYNA & TVS,2.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,1.0,7.0,0.0,0.0,0.0,7.0,1,10,2019,300,840,540,2,20,OND,ORE,SPV,
692,"['OND', 'ORE']",KM 6 IFE GARAGE,"KTP 202 EN, NND 410 QB & NO NOS",2 BIKE & TRK,3 COM,2 BAJA  & DAF,2 BOXERS & TRK,3.0,1.0,0.0,0.0,4.0,1.0,0.0,0.0,0.0,1.0,5.0,1.0,0.0,0.0,6.0,2,10,2019,360,1080,720,3,8,OND,ORE,SPV,
693,"['OND', 'IFE']",KM 9 PELE ,NND 437 VJ,BIKE,COM,BAJAJ,BOXERS,1.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,2.0,10,10,2019,600,1380,780,1,7,OND,IFE,SPV,
694,"['OND', 'ORE']",KM 14 AWOYAYA,KTU 706 BW,CAR,COM,SARON,GOLF,1.0,1.0,0.0,0.0,2.0,3.0,2.0,0.0,0.0,5.0,3.0,4.0,1.0,0.0,8.0,10,10,2019,1440,2400,960,1,3,OND,ORE,SPV,
695,"['OND', 'AKR']",KM 5 NEPA,HIT & RUN,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,2.0,10,20,2019,780,1560,780,0,6,OND,AKR,SPV,
696,"['OND', 'AKR']",KM 10 AJILO,AKR 898 FW &  NND 635 QB,CAR & BIKE,PVT & COM,LEXUS & TVS,300 & HLX,3.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,3.0,10,20,2019,1080,1620,540,2,19,OND,AKR,SPV,
697,"['AKR', 'OWO']",500 M  TO THE OFFICE,BSA 60 PM & KEY 150 YE,2 BUS,2 COM,SHARON & TYT,BUS & SIENNA,2.0,2.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,4.0,8.0,0.0,0.0,12.0,3,12,2020,300,600,300,2,12,AKR,OWO,SPV,LOC
698,"['AKR', 'IPT']",KM 1 ACCADE AREA,"GGE 564 GG, XB 645 JTA & FGB 66 XB",2 CAR & P/UP,PVT & 2 COM,LEXUS & 2 NISSAN,"350, CABSTAR & ALMERA",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,2.0,0.0,0.0,8.0,4,12,2020,1200,1500,300,3,16,AKR,IPT,SPV,MDV
699,"['AKR', 'IPT']",KM 2 WESCO JUNCTION,LND 85 FP & XB 518 JTA,JEEP & CAR,2 PVT,LEXUS & NISSAN,JEEP & ALMERIA,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,12,20,2020,180,360,180,2,16,AKR,IPT,SPV,
700,"['AKR', '-OWO']",KM  ELEYOWO ALONG AIRPORT,FUF 411 AH,CAR,PVT,TYT,CAMRY,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,12,22,2020,900,1800,900,1,13,AKR,-OWO,SLV,LOC
701,"['AKR', 'OWO']",KM 6 STONE WORKS,RSH 558 FY & BDG 512 AU,2 CAR,2 PVT,LEXUS & TYT,LS 460 & CAMRY,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,4.0,12,29,2020,300,1200,900,2,11,AKR,OWO,SLV,LOC
702,"['ORE', 'LAG']",KM 30 OMOTOSO FROM TOLLGATE,AYB 549 YD,BUS & TRACTOR,2 COM,TYT,SIENNA,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,8.0,1.0,0.0,0.0,9.0,7,12,2020,240,540,300,2,13,ORE,LAG,SPV,LOC
703,"['ORE', 'LAG']",KM 6 ONITEA  AREA,TGD 11 LG & AAA 868 XQ,BUS & TRK,GOV &COM,FIAT & VOLVO,BUS & TRK,1.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,2.0,3.0,0.0,0.0,0.0,3.0,8,12,2020,300,600,300,2,4,ORE,LAG,SPV,
704,"['ORE', 'OND']",KM 15 OMIFON,NO NOS & MEK 746 QJ,BUS & BIKE,2 COM,TYT & BAJAJ,SIENNA & BIKE,2.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,1.0,3.0,0.0,0.0,0.0,3.0,8,12,2020,180,420,240,2,13,ORE,OND,SPV,LOC
705,"['ORE', 'LAG']",KM 10 ORE TOLL GATE,HIT & RUN,0,0,0,HIT & RUN,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,8,12,2020,0,60,60,0,19,ORE,LAG,SPV,LOC
706,"['ORE', 'LAG']",KM 40 ADOLAK FILLING STATION AJEBAMIDELE,EBJ 32 XA,CAR,COM,TYT,AVENSIS,3.0,1.0,0.0,1.0,5.0,0.0,0.0,0.0,0.0,0.0,4.0,2.0,0.0,2.0,8.0,8,12,2020,300,600,300,1,17,ORE,LAG,SPV,
707,"['ORE', 'LAG']",KM 30 OMOTOSO FROM TOLLGATE,"KJA 636 CU, NO NOS & TTD 994 YA",CAR & 2 TRK,PVT & 2 COM,"TYT, DONGFENG & HOWO","COROLLA, 2TRK",1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,6.0,0.0,0.0,0.0,6.0,12,13,2020,900,1800,900,3,8,ORE,LAG,SPV,LOC
708,"['ORE', 'BEN']",TOLL GATE,SMK 969 XR,TRK,COM ,MARK,TRK,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,12,16,2020,120,300,180,1,5,ORE,BEN,SPV,LOC
709,"['ORE', 'OND']",KM 17 GIDANDAYO,SGB 252 XA & BEN 612 KF,2 BUS,2 COM,TYT & MAZDA,2 BUS,3.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,5.0,1.0,0.0,0.0,6.0,12,19,2020,600,1200,600,2,13,ORE,OND,SPV,LOC
710,"['ORE', 'OND']",KM 14 SABO ODIGBO,APP 799 XD & EPE 504 GL,2 BUS,2 COM,TYT & KIA,HIACE &  BUS,4.0,2.0,0.0,1.0,7.0,0.0,0.0,0.0,0.0,0.0,10.0,4.0,0.0,1.0,15.0,12,20,2020,660,1020,360,2,14,ORE,OND,SPV,LOC
711,"['ORE', 'LAG']",KM 20 OMOTOSHO,NIL,TRK,COM,DAF,XF,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,4.0,12,26,2020,900,1500,600,1,7,ORE,LAG,LOC,
712,"['ORE', 'LAG']",KM 20 OMOTOSHO,SMK 889 XG,LUX BUS,COM,MARCOPOLO,BUS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34.0,22.0,0.0,0.0,56.0,12,26,2020,4800,5400,600,1,6,ORE,LAG,SPV,LOC
713,"['ORE', 'LAG']",KM 10 GIDANDAYO ,XU 801 XD & GGE 892 XD,LUX BUS & TRL,2 COM,MARCOPOLO & M/BENZ,LUX BUS & TRL,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,30.0,22.0,0.0,0.0,52.0,12,26,2020,600,1500,900,2,13,ORE,LAG,DGD,
714,"['ORE', 'LAG']",KM 15 NAIRO WAY,AGL 787 FN,JEEP,PVT,TYT,4 RUNNER,2.0,1.0,0.0,0.0,3.0,1.0,0.0,0.0,0.0,1.0,3.0,2.0,1.0,0.0,6.0,12,27,2020,1200,1800,600,1,6,ORE,LAG,SPV,LOC
715,"['ORE', 'LAG']",KM 35 OMOTOSHO,"KJA 360 EW, EUN 114 AQ, LND 873 GA & FKJ 379 DG","CAR, BUS & 2 JEEP",4 PVT,3 TYT & HONDA,"CAMRY, SIENNA, HIGHLANDER & PILOT",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,1.0,0.0,0.0,13.0,12,28,2020,9900,10020,120,4,6,ORE,LAG,SPV,RTV
716,"['ORE', 'LAG']",KM 10 TOLL GATE FRM INTERCHANGE,ATN 599 ZK & APP 151 FP,BUS & CAR,COM & PVT,2 TYT,HIACE & CAMRY,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,4.0,0.0,0.0,15.0,12,29,2020,120,240,120,2,10,ORE,LAG,SPV,LOC
717,"['OWO', 'IKR']",KM2 OPP NIPCO FILLING STATION,"HIT & RUN, NO NOS",BUS & BIKE,2 COM,BUS & BAJAJ,BUS & BOXERS,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,2,12,2020,60,180,120,2,14,OWO,IKR,SPV,
718,"['OWO', 'AKR']",KM 11 AMURIN ,AKR 854 YV & JJJ 570 GP,2 BUS,2 COM,2 TYT,PREVIA & SIENNA,6.0,7.0,0.0,0.0,13.0,0.0,0.0,0.0,0.0,0.0,6.0,7.0,0.0,0.0,13.0,5,12,2020,180,480,300,2,14,OWO,AKR,SPV,WOV
719,"['OWO', 'AKR']",BEFORE FIRST GATE POLY,WWW 911 MW & MAPN 312 XA,P/UP & TRK,PVT & COM,TYT & BENZ,TACOMA & TRK,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,1.0,7.0,12,13,2020,180,300,120,2,17,OWO,AKR,SPV,LOC
720,"['OWO', 'IFON']",KM 5 BE4 ITA PELE JUNCTION,EKY 654 XK,CAR,PVT,TYT,PREVIA,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,2.0,12,14,2020,360,600,240,1,17,OWO,IFON,SLV,
721,"['OWO', 'AKR']",KM 10 OSOWO BE4 AMURIN JUNCTION,FGG 900 YQ,BUS,COM ,TYT,HIACE,0.0,3.0,3.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,10.0,3.0,3.0,0.0,16.0,12,19,2020,600,1200,600,1,11,OWO,AKR,SLV,
722,"['OWO', 'IDOANI']",KM 20 AFTER IPELE,KWM 82 XA & BKP 45 LG,TRK & BUS,COM & GOV,DAF & TYT,TRK & HIACE,2.0,2.0,1.0,2.0,7.0,0.0,0.0,0.0,0.0,0.0,5.0,7.0,4.0,3.0,19.0,12,21,2020,600,1080,480,2,17,OWO,IDOANI,SPV,LOC
723,"['OWO', 'IKR']",KM 15 AFTER AGO PANU,KWL 39 BF & JHN 62 XA,CAR & BUS,PVT & COM,2 TYT,CAMRY & HIACE,6.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,8.0,12,28,2020,120,420,300,2,11,OWO,IKR,SPV,LOC
724,"['OWO', 'AKR']",KM 5 AFTER POLY 1ST GATE JUNCTION,"MKA 42 ZE, KRD 755 YC & NO NOS",2 BUS & BIKE,3 COM,2 TYT & BOXERS,"HIACE, SIENNA & BAJAJ",6.0,1.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,16.0,2.0,0.0,0.0,18.0,12,28,2020,120,300,180,3,16,OWO,AKR,SPV,TBT
725,"['OWO', 'AKR']",KM 11 USO,BDG 454 BQ,CAR,PVT,TYT,CAMRY,6.0,0.0,0.0,0.0,6.0,2.0,0.0,0.0,0.0,2.0,8.0,0.0,0.0,0.0,8.0,12,31,2020,180,780,600,1,7,OWO,AKR,SPV,LOC
726,"['IKR', 'OWO']",KM 10 AYEGUNLE OBA AKOKO,KJA 641 AV & NO NOS,2 CAR,2 PVT,TYT & V/WAGON,PICNIC & GOLF,6.0,1.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,6.0,2.0,0.0,0.0,8.0,1,12,2020,300,900,600,2,11,IKR,OWO,WOV,
727,"['OKA', 'ISUA']",KM 1 FROM BASE,AKD 925 XU,TRK,COM,BENZ,TRK,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,3.0,5,12,2020,300,600,300,1,17,OKA,ISUA,LOC,
728,"['IKR', 'OWO']",KM 10 AAUA GATE AKUGBA,3 NO NOS,3 TRK,3 COM,3 DAF,3 TRK,2.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,2.0,4.0,0.0,0.0,0.0,4.0,11,12,2020,300,900,600,3,16,IKR,OWO,LOC,BFL
729,"['IKR', 'OWO']",100M ECO BANK PLC IKARE,AKD 106 XZ & KAK 153 WZ,BUS & BIKE,2 COM,TYT & BOXERS,SIENNA & BAJAJ,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,6.0,0.0,0.0,0.0,6.0,12,13,2020,120,420,300,2,13,IKR,OWO,SPV,
730,"['OKA', 'AKUNGBA']",KM 3.5 IWARO OKA,XR 783 PHC,TRK,COM,DAF,TRK,4.0,0.0,0.0,0.0,4.0,1.0,0.0,0.0,0.0,1.0,9.0,0.0,0.0,0.0,9.0,12,14,2020,180,960,780,1,19,OKA,AKUNGBA,BFL,
731,"['IKR', 'OWO']",KM 2 AYEGUNLE OKA,AGL 338 YC,BUS,COM,TYT,HIACE,2.0,1.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,5.0,2.0,0.0,0.0,7.0,12,22,2020,120,300,180,1,15,IKR,OWO,SPV,
